,code,2016/01,2016/02,2016/03,2016/04,2016/05,2016/06,2016/07,2016/08,2016/09,2016/10,2016/11,2016/12,2017/01,2017/02,2017/03,2017/04,2017/05,2017/06,2017/07,2017/08,2017/09,2017/10,2017/11,2017/12,2018/01,2018/02,2018/03,2018/04,2018/05,2018/06,2018/07,2018/08,2018/09,2018/10,2018/11,2018/12,2019/01,2019/02,2019/03,2019/04,2019/05,2019/06,2019/07,2019/08,2019/09,2019/10,2019/11,2019/12,2020/01,2020/02,2020/03,2020/04,2020/05,2020/06,2020/07,2020/08,2020/09,2020/10,2020/11,2020/12,2021/01,2021/02,2021/03,2021/04,2021/05,2021/06,2021/07,2021/08,2021/09,2021/10,2021/11,2021/12
120,T1905,,,62.44,,,,,,,,,,,,54.2,,,,,,,,,,,,59.88,,,,,,,,,,,,45.43,,,,,,,,,,,,55.74,,,,,,,,,,,,47.21,,,,,,,,,
121,T1911,,,167.9,,,,,,,,,,,,158.71,,,,,,,,,,,,150.43,,,,,,,,,,,,158.68,,,,,,,,,,,,173.44,,,,,,,,,164.35,,,,,,,,,,,,159.63
122,T1914,,,24.41,,,,,,,,,,,,27.42,,,,,,,,,,,,34.9,,,,,,,,,,,,32.31,,,,,,,,,,,,26.11,,,,,,,,,,,,31.59,,,,,,,,,
123,T1921,,,115.71,,,,,,,,,,,,91.22,,,,,,,,,,,,76.62,,,,,,,,,,,,74.99,,,,,,,,,,,,39.48,,,,,,,,,,,,45.21,,,,,,,,,
124,T1925,,,126.64,,,,,,,,,,,,129.57,,,,,,,,,,,,130.81,,,,,,,,,,,,127.84,,,,,,,,,,,,126.92,,,,,,,,,,,,126.4,,,,,,,,,
125,T1926,,,64.78,,,,,,,,,,,,62.89,,,,,,,,,,,,56.47,,,,,,,,,,,,52.33,,,,,,,,,,,,48.52,,,,,,,,,,,,49.32,,,,,,,,,
126,T1928,89.53,,,,,,,,,,,,93.86,,,,,,,,,,,,94.32,,,,,,,,,,,,85.57,,,,,,,,,,,,82.29,,,,,,,,,,,,83.16,,,,,,,,,,,
127,T1929,,,101.5,,,,,,,,,,,,100.64,,,,,,,,,,,,104.35,,,,,,,,,,,,97.19,,,,,,,,,,,,88.11,,,,,,,,,,,,80.02,,,,,,,,,
128,T1930,,,62.32,,,,,,,,,,,,54.21,,,,,,,,,,,,51.06,,,,,,,,,,,,49.86,,,,,,,,,,,,48.47,,,,,,,,,,,,39.07,,,,,,,,,
129,T1934,,,85.14,,,,,,,,,,,,72.4,,,,,,,,,,,,73.25,,,,,,,,,,,,68.34,,,,,,,,,,,,67.37,,,,,,,,,,,,63.57,,,,,,,,,
130,T1938,,,76.75,,,,,,,,,,,,70.24,,,,,,,,,,,,65.61,,,,,,,,,,,,67.27,,,,,,,,,,,,64.64,,,,,,,,,,,,56.93,,,,,,,,,
131,T1939,,,68.45,,,,,,,,,,,,61.8,,,,,,,,,,,,71.75,,,,,,,,,,,,65.34,,,,,,,,,,,,63.33,,,,,,,,,,,,70.21,,,,,,,,,
132,T1941,,,19.67,,,,,,,,,,,,20.18,,,,,,,,,,,,20.27,,,,,,,,,,,,20.95,,,,,,,,,,,,23.4,,,,,,,,,,,,22.14,,,,,,,,,
133,T1942,,,105.34,,,,,,,,,,,,93.09,,,,,,,,,,,,88.16,,,,,,,,,,,,84.65,,,,,,,,,,,,90.84,,,,,,,,,,,,65.41,,,,,,,,,
134,T1944,,,39.02,,,,,,,,,,,,37.63,,,,,,,,,,,,35.06,,,,,,,,,,,,37.04,,,,,,,,,,,,38.06,,,,,,,,,,,,36.43,,,,,,,,,
135,T1945,,,59.89,,,,,,,,,,,,41.38,,,,,,,,,,,,44.49,,,,,,,,,,,,41.5,,,,,,,,,,,,37.55,,,,,,,,,,,,39.99,,,,,,,,,
136,T1946,,,121.56,,,,,,,,,,,,124.36,,,,,,,,,,,,149.77,,,,,,,,,,,,170.27,,,,,,,,,,,,185.61,,,,,,,,,,,,182.02,,,,,,,,,
137,T1948,,,100.77,,,,,,,,,,,,105.32,,,,,,,,,,,,79.15,,,,,,,,,,,,75.78,,,,,,,,,,,,62.67,,,,,,,,,,,,54.57,,,,,,,,,
138,T1949,,,93.22,,,,,,,,,,,,85.29,,,,,,,,,,,,76.23,,,,,,,,,,,,79.83,,,,,,,,,,,,82.09,,,,,,,,,,,,71.78,,,,,,,,,
139,T1950,,,69.67,,,,,,,,,,,,65.3,,,,,,,,,,,,60.37,,,,,,,,,,,,60.75,,,,,,,,,,,,57.36,,,,,,,,,,,,52.51,,,,,,,,,
140,T1951,,,92.88,,,,,,,,,,,,80.67,,,,,,,,,,,,76.28,,,,,,,,,,,,55.61,,,,,,,,,,,,70.3,,,,,,,,,,,,67.17,,,,,,,,,
141,T1952,,,147.7,,,,,,,,,,,,113.57,,,,,,,,,,,,125.46,,,,,,,,,,,,134.5,,,,,,,,,,,,119.19,,,,,,,,,,,,90.94,,,,,,,,,
142,T1959,,,136.23,,,,,,,,,,,,117.94,,,,,,,,,,,,96.92,,,,,,,,,,,,99.67,,,,,,,,,,,,92.08,,,,,,,,,,,,77.14,,,,,,,,,
143,T1960,,,33.62,,,,,,,,,,,,28.61,,,,,,,,,,,,26.08,,,,,,,,,,,,37.57,,,,,,,,,,,,33.44,,,,,,,,,,,,29.16,,,,,,,,,
144,T1961,,,102.39,,,,,,,,,,,,96.56,,,,,,,,,,,,112.68,,,,,,,,,,,,125.88,,,,,,,,,,,,113.01,,,,,,,,,,,,92.04,,,,,,,,,
145,T1963,,,54.48,,,,,,,,,,,,58.46,,,,,,,,,,,,72.71,,,,,,,,,,,,76.05,,,,,,,,,,,,46.13,,,,,,,,,,,,44.7,,,,,,,,,
146,T1964,,,101.16,,,,,,,,,,,,85.92,,,,,,,,,,,,89.48,,,,,,,,,,,,100.1,,,,,,,,,,,,123.2,,,,,,,,,,,,70.89,,,,,,,,,
147,T1965,,,67.92,,,,,,,,,,,,67.82,,,,,,,,,,,,62.21,,,,,,,,,,,,71.33,,,,,,,,,,,,53.98,,,,,,,,,,,,51.41,,,,,,,,,
148,T1966,,,169.66,,,,,,,,,,,,202.92,,,,,,,,,,,,171.1,,,,,,,,,,,,174.36,,,,,,,,,,,,147.56,,,,,,,,,,,,159.62,,,,,,,,,
149,T1967,,,56.59,,,,,,,,,,,,52.24,,,,,,,,,,,,47.08,,,,,,,,,,,,39.31,,,,,,,,,,,,40.93,,,,,,,,,,,,38.6,,,,,,,,,
150,T1968,,,42.74,,,,,,,,,,,,46.91,,,,,,,,,,,,49.12,,,,,,,,,,,,67.79,,,,,,,,,,,,87.19,,,,,,,,,,,,75.34,,,,,,,,,
151,T1969,,,115.04,,,,,,,,,,,,106.63,,,,,,,,,,,,109.74,,,,,,,,,,,,120.06,,,,,,,,,,,,107.27,,,,,,,,,,,,96.92,,,,,,,,,
152,T1972,,,106.03,,,,,,,,,,,,92.72,,,,,,,,,,,,88.17,,,,,,,,,,,,83.93,,,,,,,,,,,,66.09,,,,,,,,,,,,52.32,,,,,,,,,
153,T1975,,,172.74,,,,,,,,,,,,159.24,,,,,,,,,,,,176.15,,,,,,,,,,,,166.78,,,,,,,,,,,,160.71,,,,,,,,,,,,111.13,,,,,,,,,
154,T1976,,,34.02,,,,,,,,,,,,34.19,,,,,,,,,,,,30.96,,,,,,,,,,,,27.36,,,,,,,,,,,,24.04,,,,,,,,,,,,22.63,,,,,,,,,
155,T1979,,,64.91,,,,,,,,,,,,62.72,,,,,,,,,,,,66.4,,,,,,,,,,,,66.16,,,,,,,,,,,,58.97,,,,,,,,,,,,48.26,,,,,,,,,
156,T1980,,,124.4,,,,,,,,,,,,104.13,,,,,,,,,,,,102.45,,,,,,,,,,,,81.53,,,,,,,,,,,,82.17,,,,,,,,,,,,77.31,,,,,,,,,
157,T1981,,,75.23,,,,,,,,,,,,71.85,,,,,,,,,,,,70.85,,,,,,,,,,,,72.13,,,,,,,,,,,,60.46,,,,,,,,,,,,54.53,,,,,,,,,
158,T1982,,,75.58,,,,,,,,,,,,64.58,,,,,,,,,,,,44.37,,,,,,,,,,,,42.14,,,,,,,,,,,,41.52,,,,,,,,,,,,37.15,,,,,,,,,
159,T1992,,,94.68,,,,,,,,,,,,95.6,,,,,,,,,,,,104.25,,,,,,,,,,,,82.4,,,,,,,,,,,,74.82,,,,,,,,,,,,83.23,,,,,,,,,
160,T1994,,,,,,,,,,,,62.4,,,,,,,,,,,,57.09,,,,,,,,,,,,80.82,,,,,,,,,,,,60.83,,,,,,,,,,,,30.79,,,,,,,,,,,,29.14
161,T1997,,,,,,,,126.99,,,,,,,,,,,,115.72,,,,,,,,,,,,119.31,,,,,,,,,,,,93.07,,,,,,,,,,,,71.79,,,,,,,,,,,,53.99,,,,
162,T1999,,,,,,145.38,,,,,,,,,,,,140.76,,,,,,,,,,,,151.33,,,,,,,,,,,,149.45,,,,,,,,,,,,126,,,,,,,,,,,,119.04,,,,,,
163,T3267,,,,,,,,,,,66.96,,,,,,,,,,,,80.94,,,,,,,,,,,,47.05,,,,,,,,,,,,36.59,,,,,,,,,,,,53.31,,,,,,,,,,,,43.14,
164,T5070,,,,,,,,,,,,,,,,,,,,,,,,,,,834.5,,,,,,,,,,,,505.07,,,,,,,,,,,,172.5,,,,,,,,,95.21,,,,,,,,,,,,98.74
165,T5071,,,,,,,,,,,,,,,,,,,,,,,,,,,139.37,,,,,,,,,,,,115.58,,,,,,,,,,,,52.33,,,,,,,,,,,,44.5,,,,,,,,,
166,T5072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,,,,,,,,,,,-,,,,,,,,,,,,-
167,T5074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.41,,,,,,,,,,,,37.54,,,,,,,,,,,,5.57,,,,,,
168,T5075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.06,,,,,,,,,,,,20.8,,,,,,,,,,,
169,T5077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.35,,,,,,,,,,,,31.99,,,,,,
170,T5078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.82,,,,,,,,,,,,64.38,,,,,,,,,,
171,T5079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.94,,,,,,,,,,,,64.83,,,,,,,,
172,T6330,,,587.68,,,,,,,,,,,,600.07,,,,,,,,,,,,10906.32,,,,,,,,,,,,1259.51,,,,,,,,,,,,1637.12,,,,,,,,,,,,1277.5,,,,,,,,,
173,T6366,,,140.04,,,,,,,,,,,,234.25,,,,,,,,,,,,188.42,,,,,,,,,,,,-,,,,,,,,,,,,1734.73,,,,,,,,,,,,1193.04,,,,,,,,,
174,T6379,,,92.77,,,,,,,,,,,,84.94,,,,,,,,,,,,64.17,,,,,,,,,,,,67.73,,,,,,,,,,,,48.14,,,,,,,,,,,,32.14,,,,,,,,,
175,T2001,,,68.65,,,,,,,,,,,,57.07,,,,,,,,,,,,58.75,,,,,,,,,,,,76.86,,,,,,,,,,,,71.7,,,,,,,,,,,,69.92,,,,,,,,,
176,T2002,,,11.13,,,,,,,,,,,,11.77,,,,,,,,,,,,12.2,,,,,,,,,,,,23.88,,,,,,,,,,,,31.65,,,,,,,,,,,,32.04,,,,,,,,,
177,T2003,,,50.11,,,,,,,,,,,,44.61,,,,,,,,,,,,41.11,,,,,,,,,,,,38.85,,,,,,,,,,,,33.65,,,,,,,,,,,,31.57,,,,,,,,,
178,T2004,,,112.01,,,,,,,,,,,,112.83,,,,,,,,,,,,108.25,,,,,,,,,,,,97.29,,,,,,,,,,,,95.74,,,,,,,,,,,,108.76,,,,,,,,,
179,T2009,,,,,,,,,,,,26.59,,,,,,,,,,,,23.82,,,,,,,,,,,,25.65,,,,,,,,,,,,22.93,,,,,,,,,,,,19.71,,,,,,,,,,,,22.72
180,T2053,,,77.3,,,,,,,,,,,,61.78,,,,,,,,,,,,60.84,,,,,,,,,,,,56.26,,,,,,,,,,,,49.57,,,,,,,,,,,,49.69,,,,,,,,,
181,T2055,,,63.69,,,,,,,,,,,,60.06,,,,,,,,,,,,61.54,,,,,,,,,,,,62.16,,,,,,,,,,,,55.39,,,,,,,,,,,,56.56,,,,,,,,,
182,T2058,,,90.36,,,,,,,,,,,,90.47,,,,,,,,,,,,84.24,,,,,,,,,,,,118.41,,,,,,,,,,,,124.02,,,,,,,,,,,,136.79,,,,,,,,,
183,T2060,,,174.69,,,,,,,,,,,,136.43,,,,,,,,,,,,144.52,,,,,,,,,,,,123.6,,,,,,,,,,,,111.95,,,,,,,,,,,,113.03,,,,,,,,,
184,T2108,,,49.76,,,,,,,,,,,,49.47,,,,,,,,,,,,50.92,,,,,,,,,,,,47.97,,,,,,,,,,,,51.69,,,,,,,,,,,,50.79,,,,,,,,,
185,T2109,,,44.26,,,,,,,,,,,,33.68,,,,,,,,,,,,36.13,,,,,,,,,,,,30.61,,,,,,,,,,,,34.26,,,,,,,,,,,,40.63,,,,,,,,,
186,T2112,,,240.99,,,,,,,,,,,,215.96,,,,,,,,,,,,200.96,,,,,,,,,,,,179.23,,,,,,,,,,,,178.03,,,,,,,,,,,,180.57,,,,,,,,,
187,T2114,,,25.52,,,,,,,,,,,,23.96,,,,,,,,,,,,22.03,,,,,,,,,,,,25.32,,,,,,,,,,,,18.33,,,,,,,,,,,,18.77,,,,,,,,,
188,T2117,,,16.44,,,,,,,,,,,,15.33,,,,,,,,,,,,15.43,,,,,,,,,,,,19.03,,,,,,,,,,,,15.53,,,,,,,,,,,,16.43,,,,,,,,,
189,T2201,,,108.49,,,,,,,,,,,,96.17,,,,,,,,,,,,83.69,,,,,,,,,,,,89.3,,,,,,,,,,,,89.08,,,,,,,,,,,,74.82,,,,,,,,,
190,T2204,,,70.03,,,,,,,,,,,,57.91,,,,,,,,,,,,57.62,,,,,,,,,,,,69.45,,,,,,,,,,,,66.1,,,,,,,,,,,,62.8,,,,,,,,,
191,T2206,,,47.19,,,,,,,,,,,,60.28,,,,,,,,,,,,55.77,,,,,,,,,,,,53.6,,,,,,,,,52,,,,,,,,,,,,47.72,,,,,,,,,,,,42.29
192,T2207,,,27.35,,,,,,,,,,,,43.4,,,,,,,,,,,,49.98,,,,,,,,,,,,61.34,,,,,,,,,,,,60.56,,,,,,,,,,,,57.49,,,,,,,,,
193,T2208,,,71.38,,,,,,,,,,,,67.09,,,,,,,,,,,,74.53,,,,,,,,,,,,68.39,,,,,,,,,,,,60.87,,,,,,,,,,,,54.02,,,,,,,,,
194,T2209,,,60.84,,,,,,,,,,,,67.6,,,,,,,,,,,,69.9,,,,,,,,,,,,68.47,,,,,,,,,,,,51.63,,,,,,,,,,,,33.16,,,,,,,,,
195,T2211,,,,,,,,,,,,89.5,,,,,,,,,,,,54.46,,,,,,,,,,,,43.72,,,,,,,,,,,,40.27,,,,,,,,,,,,36.96,,,,,,,,,,,,40.63
196,T2212,,,,,,,,,,,,91.23,,,,,,,,,,,,88.35,,,,,,,,,,,,82.37,,,,,,,,,,,,78.66,,,,,,,,,,,,75.95,,,,,,,,,,,,84.99
197,T2215,,,,,,,,,,,,112.69,,,,,,,,,,,,108.32,,,,,,,,,,,,110.51,,,,,,,,,,,,113.57,,,,,,,,,,,,120.73,,,,,,,,,,,,141.38
198,T2216,,,,,,,,,,,,85.15,,,,,,,,,,,,81.81,,,,,,,,,,,,87.65,,,,,,,,,,,,77.04,,,,,,,,,,,,76.99,,,,,,,,,,,,80.42
199,T2217,64.7,,,,,,,,,,,,57.19,,,,,,,,,,,,50.96,,,,,,,,,,,,46.96,,,,,,,,,,,,42.72,,,,,,,,,,,,43.28,,,,,,,,,,,
200,T2218,,,202.31,,,,,,,,,,,,184.87,,,,,,,,,,,,195.3,,,,,,,,,,,,223.35,,,,,,,,,,,,216.01,,,,,,,,,,,,202.15,,,,,,,,,
201,T2220,,,61.87,,,,,,,,,,,,58.35,,,,,,,,,,,,57.46,,,,,,,,,,,,64.74,,,,,,,,,,,,69.34,,,,,,,,,,,,69.92,,,,,,,,,
202,T2221,,,37.9,,,,,,,,,,,,37.43,,,,,,,,,,,,36.65,,,,,,,,,,,,35.64,,,,,,,,,,,,34.11,,,,,,,,,,,,36.25,,,,,,,,,
203,T2222,,,70.75,,,,,,,,,,,,50.8,,,,,,,,,,,,35.96,,,,,,,,,,,,37.72,,,,,,,,,,,,32.31,,,,,,,,,,,,25.48,,,,,,,,,
204,T2224,,,363.8,,,,,,,,,,,,295.16,,,,,,,,,,,,299.22,,,,,,,,,,,,268.86,,,,,,,,,,,,184.16,,,,,,,,,,,,157.52,,,,,,,,,
205,T2226,,,,,,13.61,,,,,,,,,,,,53.38,,,,,,,,,,,,80.9,,,,,,,,,,,,74.62,,,,,,,,,,,,68.07,,,,,,,,,,,,83.94,,,,,,
206,T2229,,,29.85,,,,,,,,,,,,32.39,,,,,,,,,,,,29.18,,,,,,,,,,,,27.98,,,,,,,,,,,,28.24,,,,,,,,,,,,27.93,,,,,,,,,
207,T2264,,,264.5,,,,,,,,,,,,237.35,,,,,,,,,,,,219.25,,,,,,,,,,,,217.04,,,,,,,,,,,,192.82,,,,,,,,,,,,181.99,,,,,,,,,
208,T2266,,,,,,,,,,,,58.58,,,,,,,,,,,,90.71,,,,,,,,,,,,76.9,,,,,,,,,,,,111.45,,,,,,,,,,,,105.43,,,,,,,,,,,,82.54
209,T2267,,,88.31,,,,,,,,,,,,86.91,,,,,,,,,,,,118.05,,,,,,,,,,,,104.83,,,,,,,,,,,,94.43,,,,,,,,,,,,73.29,,,,,,,,,
210,T2268,,,,,,,,,,,,91.53,,,,,,,,,,,,93.19,,,,,,,,,,,,95.11,,,,,,,,,,,,91.02,,,,,,,,,,,,78.49,,,,,,,,,,,,85.99
211,T2269,,,52.55,,,,,,,,,,,,52.33,,,,,,,,,,,,45.25,,,,,,,,,,,,45.06,,,,,,,,,,,,44.44,,,,,,,,,,,,45.09,,,,,,,,,
212,T2270,,,183.48,,,,,,,,,,,,152.25,,,,,,,,,,,,136.61,,,,,,,,,,,,124.98,,,,,,,,,,,,121.89,,,,,,,,,,,,115.43,,,,,,,,,
213,T2281,,,129.39,,,,,,,,,,,,120.03,,,,,,,,,,,,101.86,,,,,,,,,,,,111.69,,,,,,,,,,,,108.26,,,,,,,,,,,,100.08,,,,,,,,,
214,T2282,,,152.77,,,,,,,,,,,,129.96,,,,,,,,,,,,108.63,,,,,,,,,,,,131.07,,,,,,,,,,,,147.26,,,,,,,,,,,,146.09,,,,,,,,,
215,T2286,,,423.64,,,,,,,,,,,,310.58,,,,,,,,,,,,297.18,,,,,,,,,,,,264.87,,,,,,,,,,,,265.3,,,,,,,,,,,,183.98,,,,,,,,,
216,T2288,,,53.88,,,,,,,,,,,,54,,,,,,,,,,,,53.14,,,,,,,,,,,,58.1,,,,,,,,,,,,59.1,,,,,,,,,,,,55.87,,,,,,,,,
217,T2291,,,174.55,,,,,,,,,,,,167.73,,,,,,,,,,,,158.71,,,,,,,,,,,,209.9,,,,,,,,,,,,271.72,,,,,,,,,,,,264.44,,,,,,,,,
218,T2292,,82.32,,,,,,,,,,,,87.64,,,,,,,,,,,,56.02,,,,,,,,,,,,67.83,,,,,,,,,,,,72.01,,,,,,,,,,,,59.04,,,,,,,,,,
219,T2293,,,292.19,,,,,,,,,,,,281.89,,,,,,,,,,,,290.16,,,,,,,,,,,,278.83,,,,,,,,,,,,281.77,,,,,,,,,,,,262.53,,,,,,,,,
220,T2294,,37.45,,,,,,,,,,,,35.21,,,,,,,,,,,,35.88,,,,,,,,,,,,30.4,,,,,,,,,,,,31.3,,,,,,,,,,,,27.11,,,,,,,,,,
221,T2296,,,,,,,,,,,,,,,0.36,,,,,,,,,,,,6.91,,,,,,,,,,,,12.61,,,,,,,,,,,,12.14,,,,,,,,,,,,16.7,,,,,,,,,
222,T2501,,,,,,,,,,,,152.1,,,,,,,,,,,,146.72,,,,,,,,,,,,136.04,,,,,,,,,,,,138.28,,,,,,,,,,,,180.38,,,,,,,,,,,,151.24
223,T2502,,,,,,,,,,,,110.03,,,,,,,,,,,,245.43,,,,,,,,,,,,151.54,,,,,,,,,,,,112.02,,,,,,,,,,,,177.39,,,,,,,,,,,,147.66
224,T2503,,,,,,,,,,,,111.07,,,,,,,,,,,,81.74,,,,,,,,,,,,73.35,,,,,,,,,,,,86.74,,,,,,,,,,,,99.53,,,,,,,,,,,,98.28
225,T2531,,,51.51,,,,,,,,,,,,53.26,,,,,,,,,,,,63.97,,,,,,,,,,,,65.16,,,,,,,,,,,,62,,,,,,,,,,,,69.16,,,,,,,,,
226,T2533,,,,,,,,,,,,91.84,,,,,,,,,,,,107.92,,,,,,,,,,,,109.61,,,,,,,,,,,,103.66,,,,,,,,,,,,106.82,,,,,,,,,,,,109.08
227,T2540,,,14.64,,,,,,,,,,,,14.85,,,,,,,,,,,,14.15,,,,,,,,,,,,14.09,,,,,,,,,,,,14.48,,,,,,,,,,,,15.17,,,,,,,,,
228,T2551,,,,,,,,,352.26,,,,,,,,,,,,327.8,,,,,,,,,,,,267.65,,,,,,,,,,,,252.91,,,,,,,,,,,,266.78,,,,,,,,,,,,272.62,,,
229,T2573,,,,,,,,,,,,27.87,,,,,,,,,,,,23.9,,,,,,,,,,,,23.85,,,,,,,,,,,,23.38,,,,,,,,,,,,19.92,,,,,,,,,,,,22.08
230,T2579,,,,,,,,,,,,46.31,,,,,,,,,,,,17.27,,,,,,,,,,,,43.9,,,,,,,,,,,,66,,,,,,,,,,,,71.53,,,,,,,,,,,,54.46
231,T2585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2041.69,,,,,,,,,,,,589.12,,,,,,,,,
232,T2586,,,438.29,,,,,,,,,,,,1969.09,,,,,,,,,,,,96250,,,,,,,,,,,,-,,,,,,,,,,,,479.46,,,,,,,,,,,,72.78,,,,,,,,,
233,T2587,,,,,,,,,,,,87.28,,,,,,,,,,,,80.84,,,,,,,,,,,,68.36,,,,,,,,,,,,59.03,,,,,,,,,,,,59.79,,,,,,,,,,,,52.07
234,T2588,,,204.02,,,,,,,,,,,,292.13,,,,,,,,,,,,162.04,,,,,,,,,,,,165.89,,,,,,,,,,,,149.3,,,,,,,,,,,,256.07,,,,,,,,,
235,T2590,94.69,,,,,,,,,,,,84.5,,,,,,,,,,,,44.61,,,,,,,,,,,,37.23,,,,,,,,,,,,40.62,,,,,,,,,,,,48.8,,,,,,,,,,,
236,T2593,,,,109.19,,,,,,,,,,,,108.93,,,,,,,,,,,,97.42,,,,,,,,,,,,89.42,,,,,,,,,,,,80.21,,,,,,,,,,,,97.08,,,,,,,,
237,T2594,,,29.67,,,,,,,,,,,,35.78,,,,,,,,,,,,31.16,,,,,,,,,,,,35.59,,,,,,,,,,,,35.59,,,,,,,,,,,,41.88,,,,,,,,,
238,T2597,,,36.1,,,,,,,,,59.88,,,,,,,,,,,,47.46,,,,,,,,,,,,45.98,,,,,,,,,,,,77.08,,,,,,,,,,,,117.33,,,,,,,,,,,,118.82
239,T2602,,,82.57,,,,,,,,,,,,86.68,,,,,,,,,,,,99.79,,,,,,,,,,,,89.16,,,,,,,,,,,,97.41,,,,,,,,,,,,100.93,,,,,,,,,
240,T2607,,,43.83,,,,,,,,,,,,43.52,,,,,,,,,,,,38.59,,,,,,,,,,,,98.91,,,,,,,,,,,,94.13,,,,,,,,,,,,90.29,,,,,,,,,
241,T2612,,,24.82,,,,,,,,,,,,23.92,,,,,,,,,,,,28.31,,,,,,,,,,,,33.08,,,,,,,,,,,,34.19,,,,,,,,,,,,21.57,,,,,,,,,
242,T2613,,,95.91,,,,,,,,,,,,103.38,,,,,,,,,,,,87.3,,,,,,,,,,,,73.67,,,,,,,,,,,,69.34,,,,,,,,,,,,70.75,,,,,,,,,
243,T2801,,,156.09,,,,,,,,,,,,152.75,,,,,,,,,,,,134.91,,,,,,,,,,,,140.1,,,,,,,,,,,,154.02,,,,,,,,,,,,156.84,,,,,,,,,
244,T2802,,,146.33,,,,,,,,,,,,169.97,,,,,,,,,,,,169.94,,,,,,,,,,,,198.24,,,,,,,,,,,,225.05,,,,,,,,,,,,203.9,,,,,,,,,
245,T2804,,,23.51,,,,,,,,,,,,25.96,,,,,,,,,,,,28.45,,,,,,,,,,,,23.49,,,,,,,,,,,,21.74,,,,,,,,,,,,22.73,,,,,,,,,
246,T2805,,,159.61,,,,,,,,,,,,149.89,,,,,,,,,,,,134.33,,,,,,,,,,,,129.97,,,,,,,,,,,,123.25,,,,,,,,,,,,101.68,,,,,,,,,
247,T2806,,,17.13,,,,,,,,,,,,17.85,,,,,,,,,,,,17.33,,,,,,,,,,,,18.07,,,,,,,,,,,,15.83,,,,,,,,,,,,16.41,,,,,,,,,
248,T2809,,,,,,,,,,,59.47,,,,,,,,,,,,69.97,,,,,,,,,,,,70.56,,,,,,,,,,,,69.41,,,,,,,,,,,,60.52,,,,,,,,,,,,68.01,
249,T2810,,,24.52,,,,,,,,,,,,20.96,,,,,,,,,,,,22.18,,,,,,,,,,,,20.89,,,,,,,,,,,,14.7,,,,,,,,,,,,15.34,,,,,,,,,
250,T2811,,,,,,,,,,,,112.45,,,,,,,,,,,,67.41,,,,,,,,,,,,62.93,,,,,,,,,,,,56.03,,,,,,,,,,,,74.44,,,,,,,,,,,,51.37
251,T2813,,,54.57,,,,,,,,,,,,62.47,,,,,,,,,,,,72.84,,,,,,,,,,,,80.74,,,,,,,,,,,,127.5,,,,,,,,,,,,130.78,,,,,,,,,
252,T2814,,,13.89,,,,,,,,,,,,11.24,,,,,,,,,,,,14.98,,,,,,,,,,,,12.34,,,,,,,,,,,,8.43,,,,,,,,,,,,9.1,,,,,,,,,
253,T2815,,,13.32,,,,,,,,,,,,13.6,,,,,,,,,,,,14.21,,,,,,,,,,,,17.76,,,,,,,,,,,,9.12,,,,,,,,,,,,10.58,,,,,,,,,
254,T2816,,,81.81,,,,,,,,,,,,76.22,,,,,,,,,,,,78.94,,,,,,,,,,,,72.24,,,,,,,,,,,,73.53,,,,,,,,,,,,76.28,,,,,,,,,
255,T2818,,,121.3,,,,,,,,,,,,84.09,,,,,,,,,,,,75.37,,,,,,,,,,,,65.96,,,,,,,,,,,,63.7,,,,,,,,,,,,66.76,,,,,,,,,
256,T2819,,,62.29,,,,,,,,,,,,56.83,,,,,,,,,,,,52.17,,,,,,,,,,,,53.63,,,,,,,,,,,,47.93,,,,,,,,,,,,50.26,,,,,,,,,
257,T2820,,,,,,143.48,,,,,,,,,,,,112.59,,,,,,,,,,,,104.36,,,,,,,,,,,,106.95,,,,,,,,,,,,118.92,,,,,,,,,,,,88.21,,,,,,
258,T2830,,,,,,,,,,,52.73,,,,,,,,,,,,53.96,,,,,,,,,,,,47.2,,,,,,,,,,,,66.87,,,,,,,,,,,,55.26,,,,,,,,,,,,39.42,
259,T2831,,,102.17,,,,,,,,,,,,90.82,,,,,,,,,,,,80.53,,,,,,,,,,,,75.7,,,,,,,,,,,,80.32,,,,,,,,,,,,76.39,,,,,,,,,
260,T2871,,,99.82,,,,,,,,,,,,102.59,,,,,,,,,,,,132.36,,,,,,,,,,,,134.62,,,,,,,,,,,,91.75,,,,,,,,,,,,85.37,,,,,,,,,
261,T2872,,84.86,,,,,,,,,,,,82.75,,,,,,,,,,,,97.24,,,,,,,,,,,,96.78,,,,,,,,,,,,137.98,,,,,,,,,,,,97.04,,,,,,,,,,
262,T2875,,,58.94,,,,,,,,,,,,56.71,,,,,,,,,,,,50.62,,,,,,,,,,,,45.76,,,,,,,,,,,,47.7,,,,,,,,,,,,44.27,,,,,,,,,
