,code,2016/01,2016/02,2016/03,2016/04,2016/05,2016/06,2016/07,2016/08,2016/09,2016/10,2016/11,2016/12,2017/01,2017/02,2017/03,2017/04,2017/05,2017/06,2017/07,2017/08,2017/09,2017/10,2017/11,2017/12,2018/01,2018/02,2018/03,2018/04,2018/05,2018/06,2018/07,2018/08,2018/09,2018/10,2018/11,2018/12,2019/01,2019/02,2019/03,2019/04,2019/05,2019/06,2019/07,2019/08,2019/09,2019/10,2019/11,2019/12,2020/01,2020/02,2020/03,2020/04,2020/05,2020/06,2020/07,2020/08,2020/09,2020/10,2020/11,2020/12,2021/01,2021/02,2021/03,2021/04,2021/05,2021/06,2021/07,2021/08,2021/09,2021/10,2021/11,2021/12
29,T1434,,,,,,,,183.11,,,,,,,,,,,,149.9,,,,,,,,,,,,84.1,,,,,,,,,,,,58.39,,,,,,,,,,,,119.77,,,,,,,,,,,,157.35,,,,
30,T1436,,,84.52,,,,,,,,,,,,,59.68,,,,,,,,,,,,59.61,,,,,,,,,,,,69.2,,,,,,,,,,,,76.85,,,,,,,,,,,,80.86,,,,,,,,
31,T1438,,,,,,,,,50.95,,,,,,,,,,,,35.08,,,,,,,,,,,,34.68,,,,,,,,,,,,38.69,,,,,,,,,,,,35.49,,,,,,,,,,,,35.72,,,
32,T1443,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52,,,,,,,,,,,,0.07,,,,,,,,,,,,0.21,,,,,,,,,,,,33.09,,,,,,,,,
33,T1444,,,,,,,34.74,,,,,,,,,,,,34.69,,,,,,,,,,,,36.47,,,,,,,,,,,,36.07,,,,,,,,,,,,28.49,,,,,,,,,,,,24.28,,,,,
34,T1445,,,,,,,,-,,,,,,,,,,,,-,,,,,,,,,,,,-,,,,,,,,,,,,-,,,,,,,,,,,,-,,,,,,,,,,,,-,,,,
35,T1446,,,,,,,,,151.48,,,,,,,,,,,,134,,,,,,,,,,,,93.04,,,,,,,,,,,,77.52,,,,,,,,,,,,118.54,,,,,,,,,,,,94.83,,,
36,T1447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.16,,,,,,,,,,,,36.97,,,,,,,,,,,,51.04,,,,,,,,,
37,T1449,,,,,,,,,,,,238.53,,,,,,,,,,,,195.74,,,,,,,,,,,,109.91,,,,,,,,,,,,95.22,,,,,,,,,,,,68.17,,,,,,,,,,,,100.55
38,T144A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
