,,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算
マルハニチロ,T1333,,,368.92,,,,,,,,,,,,343.13,,,,,,,,,,,,298.83,,,,,,,,,,,,278.47,,,,,,,,,
ユキグニファクトリー,T1375,,,0.01,,,,,,,,,,,,0.07,,,,,,,,,,,,99.68,,,,,,,,,,,,95.6,,,,,,,,,
カネコ種苗,T1376,,,,,132.22,,,,,,,,,,,,130.18,,,,,,,,,,,,120.09,,,,,,,,,,,,117.92,,,,,,,
サカタのタネ,T1377,,,,,9.94,,,,,,,,,,,,9.45,,,,,,,,,,,,9.26,,,,,,,,,,,,9.78,,,,,,,
ホクト,T1379,,,87.39,,,,,,,,,,,,84.27,,,,,,,,,,,,74.33,,,,,,,,,,,,83.12,,,,,,,,,
秋川牧園,T1380,,,179.48,,,,,,,,,,,,173.31,,,,,,,,,,,,160.96,,,,,,,,,,,,151.94,,,,,,,,,
アクシーズ,T1381,,,,,,17.55,,,,,,,,,,,,14.19,,,,,,,,,,,,15.63,,,,,,,,,,,,12.87,,,,,,
ホーブ,T1382,,,,,,140.39,,,,,,,,,,,,111.19,,,,,,,,,,,,70.43,,,,,,,,,,,,50,,,,,,
ベルグアース,T1383,,,,,,,,,,187.65,,,,,,,,,,,,356.32,,,,,,,,,,,,348.92,,,,,,,,,,,,224.97,,
ホクリヨウ,T1384,,,38.3,,,,,,,,,,,,33.22,,,,,,,,,,,,28.97,,,,,,,,,,,,53.12,,,,,,,,,
住石ホールディングス,T1514,,,6.21,,,,,,,,,,,,1.86,,,,,,,,,,,,1,,,,,,,,,,,,1.28,,,,,,,,,
日鉄鉱業,T1515,,,55.24,,,,,,,,,,,,61.68,,,,,,,,,,,,61.58,,,,,,,,,,,,55.3,,,,,,,,,
ＩＮＰＥＸ,T1605,,,32.92,,,,,,,,,33.7,,,,,,,,,,,,43.23,,,,,,,,,,,,44.18,,,,,,,,,,,,44
石油資源開発,T1662,,,19.54,,,,,,,,,,,,16.35,,,,,,,,,,,,29.05,,,,,,,,,,,,25.21,,,,,,,,,
Ｋ＆Ｏエナジーグループ,T1663,,,,,,,,,,,,4.09,,,,,,,,,,,,4.23,,,,,,,,,,,,3.88,,,,,,,,,,,,6.74
三興商事,T136A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.5,,,,,,
エムビーエス,T1401,,,,,43.2,,,,,,,,,,,,39.4,,,,,,,,,,,,36.61,,,,,,,,,,,,28.76,,,,,,,
ウエストホールディングス,T1407,,,,,,,,278.15,,,,,,,,,,,,280.59,,,,,,,,,,,,240.45,,,,,,,,,,,,286.23,,,,
ショーボンドホールディングス,T1414,,,,,,0.05,,,,,,,,,,,,0.08,,,,,,,,,,,,0.09,,,,,,,,,,,,0.07,,,,,,
ミライト・ワン,T1417,,,46.48,,,,,,,,,,,,46.17,,,,,,,,,,,,48.64,,,,,,,,,,,,103.37,,,,,,,,,
インターライフホールディングス,T1418,,88.21,,,,,,,,,,,,90.41,,,,,,,,,,,,70.29,,,,,,,,,,,,43.8,,,,,,,,,,
タマホーム,T1419,,,,,422.77,,,,,,,,,,,,409.94,,,,,,,,,,,,296.62,,,,,,,,,,,,267.44,,,,,,,
