,code,îNî≈,åéïΩãœécã∆éûä‘,óLãxéÊìæó¶/ëOä˙,ä«óùêEÅEèóê´î‰ó¶,ïΩãœîNóÓçáåv/ëOä˙,fusaiRate,é©å»ìsçáó£êEó¶,ÉÅÉìÉ^ÉãÉwÉãÉXãxêEé“ó¶,ïΩãœîNä‘ããó^/ëOä˙ÅiëŒêîÅj,è]ã∆àıêîçáåv/ëOä˙ÅiëŒêîÅj
59,2282,2021,15.2,78.6,3.9,42.2,146.09,0.01896664486592544,0.017004578155657292,6.925435657004897,3.1844074854123203
60,8040,2017,3.2,64.1,19.7,43.0,55.98,0.017006802721088437,0.0,6.69057180376126,2.4683473304121573
61,8040,2018,2.3,62.8,20.3,42.5,53.68,0.010714285714285714,0.0,6.695891261147024,2.4471580313422194
62,8040,2021,5.0,74.2,30.0,41.9,111.43,0.04044117647058824,0.0,6.712849548932259,2.4345689040341987
63,1852,2017,24.8,28.4,0.4,44.1,222.61,0.018821603927986905,0.0016366612111292963,6.877468100970348,3.0870712059065353
64,1852,2018,25.5,29.7,0.4,44.0,176.24,0.02172164119066774,0.003218020917135961,6.877368926716055,3.094471128641645
65,1852,2019,29.2,29.6,0.4,44.2,159.35,0.034345047923322686,0.003194888178913738,6.918621738838244,3.097604328874411
66,1852,2020,37.8,38.3,0.6,43.7,150.99,0.036334913112164295,0.004739336492890996,6.936849336491944,3.1024337056813365
67,1852,2021,27.6,45.7,0.5,43.9,113.45,0.02920284135753749,0.0,6.922951885863943,3.1027766148834415
68,5202,2020,14.9,74.6,1.5,44.6,115.53,0.00815910249872514,0.0005099439061703213,6.8990121488317575,3.292477593667784
69,5202,2021,14.1,76.2,2.4,44.6,119.11,0.006480558325024925,0.0004985044865403788,6.890848619033466,3.302330928684399
70,5998,2021,9.0,66.5,8.3,42.1,661.36,0.04851752021563342,0.0026954177897574125,6.67486518066769,2.569373909615046
71,4547,2017,2.4,49.4,2.0,40.5,14.86,0.014973958333333334,0.004557291666666667,6.901321636079551,3.186391215695493
72,5019,2017,9.5,57.9,0.6,42.1,409.92,0.0117359413202934,0.0070904645476772615,6.901366276086835,3.611723308007342
73,5019,2018,10.8,60.9,0.4,42.1,276.03,0.010747313171707074,0.008747813046738315,6.931165818809674,3.6021685513789974
74,5019,2019,13.6,63.2,0.6,42.4,302.86,0.012990320937340805,0.010952623535404993,6.979845587159518,3.5939502952639875
75,5019,2020,14.0,67.4,0.7,42.3,263.24,0.015593561368209255,0.011569416498993963,6.987016392518807,3.5994463757252757
76,5019,2021,18.9,70.0,2.1,42.5,243.35,0.017849553761155972,0.0184870378240544,6.959713217545739,3.6726519228400023
77,1332,2017,15.2,54.4,5.3,41.9,269.12,0.022401433691756272,0.004480286738351254,6.908196948587219,3.04766419460156
78,1332,2018,16.3,56.5,5.2,42.4,262.06,0.013134851138353765,0.0035026269702276708,6.907019297587834,3.0576661039098294
79,1332,2019,17.0,58.9,6.8,42.4,266.52,0.009499136442141624,0.0025906735751295338,6.920842031512772,3.0637085593914173
80,1332,2020,22.7,64.1,7.4,42.5,280.18,0.011637572734829594,0.0024937655860349127,6.904200414341743,3.0802656273398448
81,1332,2021,19.3,62.2,6.2,42.6,223.59,0.012976480129764802,0.0040551500405515,6.902795218174338,3.0909630765957314
82,1928,2017,28.8,27.4,1.4,41.2,93.86,0.022302417899675207,0.0010826416456153013,6.900510394888256,4.141606530118251
83,1928,2018,28.5,30.0,1.6,41.8,94.32,0.017947439641051208,0.0019229399615412009,6.910875358848049,4.147398039347655
84,1928,2019,25.9,34.4,1.8,42.2,85.57,0.016986604060212677,0.0013119734843253694,6.913007753291135,4.160828543144547
85,1928,2020,25.8,37.0,2.0,42.5,82.29,0.019567597153804052,0.0021893814997263274,6.913211354205455,4.1648285343444815
86,1928,2021,25.3,51.1,2.2,42.8,83.16,0.021957975812445105,0.0033105871224917236,6.904276594155036,4.170291058625393
87,4452,2017,19.9,65.8,8.8,41.7,78.67,0.008034433285509325,0.003586800573888092,6.908892314012338,3.8432327780980096
88,4452,2018,20.7,71.7,14.0,41.2,69.11,0.00542043085476025,0.00847810979847116,6.902220528279314,3.857030798272624
89,4452,2019,19.5,72.8,15.5,41.0,68.36,0.00641025641025641,0.008592471358428805,6.89231726072248,3.865222456290179
90,4452,2020,18.7,78.8,16.8,40.8,69.08,0.0074461136512083605,0.0074461136512083605,6.914818980447473,3.88394519503428
91,4452,2021,17.7,74.6,18.2,40.6,60.7,0.010879190385831752,0.004174573055028463,6.914554698517634,3.8979018742682277
92,2204,2017,13.4,26.6,9.8,40.1,57.91,0.024173027989821884,0.002544529262086514,6.7450747915820575,2.895422546039408
93,2204,2018,15.9,25.7,11.3,40.1,57.62,0.021518987341772152,0.007594936708860759,6.747334109615905,2.8976270912904414
94,2204,2019,10.0,24.6,11.5,41.0,69.45,0.03540903540903541,0.02197802197802198,6.755112266395071,2.9132839017604186
95,2204,2020,15.5,24.4,11.9,40.8,66.1,0.04779874213836478,0.026415094339622643,6.7419390777291985,2.9003671286564705
96,2204,2021,16.0,37.1,12.2,42.2,62.8,0.05412371134020619,0.01675257731958763,6.7419390777291985,2.8898617212581885
97,1961,2019,28.6,53.7,0.8,42.8,125.88,0.016251904520060943,0.002031488065007618,6.871575970926812,3.2942457161381182
98,1961,2020,32.0,55.6,0.6,43.0,113.01,0.031011692933401117,0.004067107269954245,6.90755119398358,3.2938043599193367
99,1961,2021,31.3,56.6,0.6,43.2,92.04,0.022590361445783132,0.0035140562248995983,6.960796780334972,3.29928933408768
100,5905,2018,16.0,52.4,0.0,41.3,115.0,0.05128205128205128,0.0,6.711738242419352,2.0681858617461617
101,5938,2017,18.0,46.7,6.8,42.1,47.17,0.01641230620155039,0.0078125,6.826933920284984,4.217799679947118
102,5938,2018,21.2,49.8,6.9,42.9,44.96,0.014775342133946955,0.006903233619958823,6.8375015075152525,4.217852280259893
103,5938,2019,21.8,55.9,6.1,43.6,40.32,0.014187808103883611,0.006973668390044487,6.843819644741589,4.220996697147369
104,5938,2020,23.6,56.1,5.7,44.2,23.44,0.015933187229757746,0.0072854350530119055,6.851025847194633,4.227449620469842
105,5406,2017,22.2,60.0,1.5,40.0,212.94,0.01181574817686698,0.0048924582294839845,6.752439905040295,4.034748743146489
106,5406,2018,16.5,74.5,1.4,39.5,192.02,0.013594344752582926,0.0038970454957404387,6.806860942872965,4.0427329796217215
107,5406,2019,18.4,77.5,1.9,39.2,195.74,0.021445804664462515,0.003127513180234117,6.791439892606017,4.048868895739931
108,2533,2017,8.6,76.6,2.9,42.1,91.84,0.012727272727272728,0.005454545454545455,6.731957074397456,2.7403626894942437
109,2533,2018,7.8,77.5,4.1,42.3,107.92,0.018083182640144666,0.003616636528028933,6.736349404669964,2.7427251313046983
110,2533,2019,6.7,78.4,4.1,42.4,109.61,0.0106951871657754,0.0053475935828877,6.736506854834721,2.7489628612561616
111,2533,2020,6.4,83.5,4.1,43.0,103.66,0.02112676056338028,0.00528169014084507,6.7501202877483,2.754348335711019
112,2533,2021,6.6,80.1,5.0,43.3,106.82,0.020146520146520148,0.005494505494505495,6.742641484258277,2.7371926427047373
113,4041,2017,10.0,79.9,1.4,44.7,53.22,0.007036747458952306,0.0007818608287724785,6.856875341920588,3.106870544478654
114,4041,2018,11.6,71.4,2.3,43.7,48.36,0.003875968992248062,0.0,6.8500226455621815,3.110589710299249
115,4041,2019,10.5,77.8,3.6,44.0,43.89,0.015527950310559006,0.006987577639751553,6.834552752365765,3.1099158630237933
116,4041,2020,9.0,77.2,3.7,43.7,45.2,0.008390541571319604,0.004576659038901602,6.820060044372784,3.117602691690084
117,4041,2021,7.6,77.8,3.8,44.1,53.31,0.01827875095201828,0.002284843869002285,6.825954479980968,3.118264726089479
118,5101,2017,22.4,54.4,0.6,38.7,141.54,0.012920387611628349,0.009690290708721261,6.79070728732768,3.7212333700172775
119,5101,2018,24.4,54.4,0.7,38.1,191.5,0.01411674933231591,0.009347577260587561,6.7886632131208575,3.719497016610582
120,5101,2019,25.0,55.2,0.7,39.0,133.18,0.020400381315538608,0.008007626310772164,6.784189205380961,3.7197454925295768
121,5101,2020,28.8,52.6,0.5,39.0,108.32,0.01498264206102686,0.00968390279554175,6.796296740051791,3.7382254481425052
122,5101,2021,27.5,62.5,0.7,39.1,91.23,0.012628540501533466,0.009561609236875337,6.79539333493129,3.7437448785924614
123,1941,2017,32.6,40.6,0.4,40.9,20.18,0.01447178002894356,0.0020260492040520984,6.837811272601089,3.5384480517102173
124,1941,2018,33.4,44.0,0.4,40.1,20.27,0.016208393632416787,0.0023154848046309695,6.839082602850218,3.5384480517102173
125,1941,2019,31.2,43.6,0.9,40.1,20.95,0.012888107791446984,0.0035149384885764497,6.8408737152406855,3.5332635167787148
126,1941,2020,31.5,50.5,1.7,39.9,23.4,0.013462101258413814,0.0029265437518290896,6.846738370706742,3.5336449787987627
127,1941,2021,32.2,54.3,2.1,39.8,22.14,0.021308079313406333,0.005031074282332051,6.850458878481422,3.5287881917748964
128,1969,2017,41.2,40.7,0.8,41.7,106.63,0.026525198938992044,0.0015915119363395225,6.918502139636174,3.2753113545418118
129,1969,2018,40.9,44.6,1.0,42.5,109.74,0.030256410256410255,0.002564102564102564,6.914554698517634,3.290034611362518
130,1969,2019,41.3,45.7,1.2,42.3,120.06,0.024691358024691357,0.0024691358024691358,6.935608018517869,3.3064250275506875
131,1969,2020,43.7,52.3,1.3,42.1,107.27,0.024865919063871283,0.006338371526084837,6.928293412232202,3.3119656603683665
132,1969,2021,49.3,62.7,1.3,42.0,96.92,0.02131782945736434,0.008236434108527133,6.9439394644722165,3.314709692955174
133,1812,2018,40.3,49.5,1.7,43.9,229.72,0.009985547234266194,0.0018394429115753514,6.976518298550527,3.881441721941393
134,1812,2019,37.9,49.6,1.4,44.1,183.63,0.007936507936507936,0.00234192037470726,7.042488566093136,3.88570038012833
135,1812,2020,38.8,46.4,2.2,44.2,182.97,0.002441218039316459,0.0015418219195682899,7.056463284689008,3.891147030448771
136,1812,2021,40.7,45.0,2.5,44.2,144.18,0.004057309496640041,0.0015214910612400153,7.054669424926347,3.896911840826025
137,2573,2017,30.0,38.5,4.3,40.8,27.87,0.015625,0.0,6.757990877999587,2.651278013998144
138,2573,2018,31.2,40.5,4.8,40.7,23.9,0.01580135440180587,0.0,6.762228284286475,2.6464037262230695
139,2573,2019,29.2,42.0,6.1,41.1,23.85,0.018604651162790697,0.002325581395348837,6.75876054390998,2.6334684555795866
140,2573,2020,28.5,68.4,6.0,42.4,23.38,0.028037383177570093,0.004672897196261682,6.764250875438774,2.6314437690131722
141,2573,2021,26.1,75.0,7.5,41.3,19.92,0.0267639902676399,0.0024330900243309003,6.763502865467597,2.6138418218760693
142,6988,2017,19.6,66.0,3.1,39.4,46.99,0.006873527101335428,0.008248232521602514,6.904715545278681,3.706888394981618
143,6988,2018,17.7,68.5,4.6,39.3,47.28,0.014136328427575524,0.008907823392718823,6.848189116991398,3.712986233594383
144,5491,2017,13.0,52.7,0.9,42.2,218.58,0.012244897959183673,0.0,6.79856315633004,2.690196080028514
145,5491,2018,12.8,35.7,0.7,42.4,201.8,0.026476578411405296,0.0,6.800981560035491,2.6910814921229687
146,5491,2019,13.2,36.1,0.7,41.9,189.67,0.018315018315018316,0.007326007326007326,6.7915840618998855,2.7371926427047373
147,5491,2020,12.4,40.1,1.4,41.1,206.23,0.012237762237762238,0.0034965034965034965,6.816422141014164,2.7573960287930244
148,5491,2021,11.7,59.1,1.9,40.4,223.46,0.03424657534246575,0.010273972602739725,6.800898935374558,2.7664128471123997
149,5195,2017,19.9,54.9,3.7,42.0,82.23,0.00382262996941896,0.020642201834862386,6.812506332261378,3.1166077439882485
150,5195,2018,24.0,59.8,4.0,42.0,78.69,0.01957713390759593,0.018794048551292093,6.819266951600049,3.1061908972634154
151,5195,2019,24.3,61.7,4.9,42.0,69.06,0.014106583072100314,0.01018808777429467,6.827592502494175,3.1058506743851435
152,5195,2020,23.0,62.7,4.2,42.0,88.87,0.012549019607843137,0.014901960784313726,6.833699417837285,3.1055101847699738
153,5195,2021,20.0,60.4,4.4,42.1,77.86,0.02358490566037736,0.018081761006289308,6.817661141754586,3.104487111312395
154,1980,2017,21.7,16.8,0.8,43.4,104.13,0.024805102763997167,0.0,6.91550499245619,3.149527013754348
155,1980,2018,23.3,19.6,0.9,43.3,102.45,0.0211864406779661,0.0007062146892655367,6.968723938465564,3.15106325335375
156,1980,2019,26.8,21.9,0.8,42.5,81.53,0.017980636237897647,0.0,6.954505853311797,3.160168292958512
157,1980,2020,23.1,26.7,1.0,42.6,82.17,0.018145161290322582,0.0,6.978463971674389,3.17260293120986
158,1980,2021,22.7,42.2,0.9,42.7,77.31,0.0245520902455209,0.0046449900464499,6.966003252887516,3.1781132523146316
159,5393,2017,13.1,44.3,1.3,41.2,84.63,0.013522215067611075,0.00643915003219575,6.825974903481138,3.1911714557285586
160,5393,2018,14.9,49.9,1.3,41.8,83.42,0.014612452350698857,0.005717916137229987,6.84168838339187,3.1970047280230456
161,5393,2019,15.1,53.0,1.4,41.5,86.43,0.011685116851168511,0.007380073800738007,6.840094232783635,3.2111205412580492
162,5393,2020,18.6,57.3,1.2,41.2,79.49,0.019002375296912115,0.004750593824228029,6.838082104400909,3.226342087163631
163,5393,2021,16.4,61.2,1.2,41.1,79.79,0.015615962984384037,0.005205320994794679,6.830820893192378,3.2377949932739227
164,1861,2019,33.5,31.0,4.0,45.2,168.2,0.011335012594458438,0.002938706968933669,6.899220334899338,3.3769417571467586
165,1861,2020,30.8,45.8,4.6,44.8,166.62,0.012815378454144974,0.002002402883460152,6.893723433739984,3.397418542351348
166,1861,2021,30.2,36.9,3.4,44.5,141.2,0.016291698991466253,0.0015515903801396431,6.905476705028358,3.4112829130173843
167,5105,2017,30.7,47.1,3.2,39.2,202.25,0.020634431783184477,0.00985525100092393,6.786458387421217,3.5114822886260013
168,5105,2018,31.1,49.5,3.4,38.9,178.53,0.018641010222489478,0.010523150932050512,6.780049162365736,3.5219222448835006
169,5105,2019,32.7,47.6,4.0,38.7,206.83,0.025707683419988445,0.010398613518197574,6.775783184949656,3.539327063539375
170,5105,2020,36.6,50.0,4.1,38.6,100.91,0.02406568516421291,0.013306908267270668,6.780839016307227,3.548020694905531
171,5105,2021,36.6,65.6,4.4,38.7,103.69,0.029469548133595286,0.012910468706146505,6.780187076292329,3.5518158223510157
172,5952,2017,20.1,48.6,4.8,43.6,312.47,0.038834951456310676,0.009708737864077669,6.603252661981647,2.012837224705172
173,5952,2019,22.2,65.1,4.5,43.7,311.81,0.02830188679245283,0.0,6.6416723732246865,2.0253058652647704
174,5952,2021,16.8,69.3,5.6,43.8,330.21,0.09803921568627451,0.0,6.622731965164719,2.0086001717619175
175,5333,2017,25.2,65.2,1.8,38.6,99.28,0.007297297297297297,0.01027027027027027,6.889114719499644,3.568201724066995
176,5333,2018,22.6,67.5,2.0,38.0,83.72,0.009398018796037593,0.010668021336042673,6.895517903543893,3.5951654147902294
177,5333,2019,24.3,68.7,2.0,38.7,92.31,0.009415741187831965,0.009415741187831965,6.894980844028077,3.617210094557434
178,5333,2020,25.2,72.5,2.2,39.0,87.01,0.013595532896334061,0.0065549890750182084,6.896972077318304,3.6147917919564176
179,5333,2021,23.7,77.5,2.7,38.8,90.3,0.015625,0.01396780303030303,6.890438792651522,3.625723909525756
180,2871,2017,18.1,39.7,7.9,41.6,102.59,0.013934045517882025,0.0013934045517882026,6.821399666751734,3.3330440298234874
181,2871,2018,18.1,40.0,8.7,41.1,132.36,0.014787430683918669,0.0009242144177449168,6.782349843371863,3.3352572564345317
182,2871,2019,21.1,34.8,11.0,42.1,134.62,0.03076194983435873,0.000946521533364884,6.822009506773768,3.3248994970523134
183,1871,2017,39.7,26.6,0.4,43.6,205.02,0.026264591439688716,0.0,6.80971212861736,3.011993114659257
184,1871,2018,29.8,36.9,0.5,43.7,193.17,0.02480916030534351,0.0,6.858241331442634,3.0203612826477078
185,1871,2019,36.1,30.9,0.5,44.0,153.78,0.016869728209934397,0.0,6.879753535369875,3.0281644194244697
186,1871,2020,32.2,33.9,0.4,43.7,137.35,0.014692378328741965,0.0,6.904439358682028,3.037027879755775
187,1871,2021,24.6,45.9,0.6,43.7,128.51,0.014427412082957619,0.0009017132551848512,6.905509421305027,3.04493154614916
188,1893,2017,18.7,25.0,0.3,43.5,307.68,0.02141157811260904,0.0019825535289452814,6.880884787882213,3.401745082237063
189,1893,2021,26.0,57.9,0.8,42.5,218.89,0.025578983753888698,0.002073971655720705,6.942720059437766,3.461348433647983
190,4461,2017,8.8,64.1,3.8,40.1,152.07,0.00404040404040404,0.006060606060606061,6.837699585724093,2.694605198933569
191,4461,2018,9.3,65.9,6.4,40.6,139.73,0.0102880658436214,0.0102880658436214,6.852334492813997,2.6866362692622934
192,4461,2019,10.9,67.4,8.0,40.9,137.88,0.008048289738430584,0.006036217303822937,6.865438128384657,2.696356388733332
193,4461,2020,14.3,68.5,11.8,40.6,159.94,0.0234375,0.0078125,6.870386053184762,2.709269960975831
194,4461,2021,12.6,73.2,11.9,40.7,142.72,0.02071563088512241,0.007532956685499058,6.864870471189325,2.725094521081469
195,4112,2019,10.0,66.3,12.1,42.1,47.55,0.013574660633484163,0.006787330316742082,6.799409479615127,2.645422269349092
196,4112,2020,11.5,68.1,12.3,41.8,41.96,0.0136986301369863,0.00228310502283105,6.808278509582768,2.6414741105040997
197,4112,2021,12.0,68.4,14.4,41.7,40.6,0.02771362586605081,0.004618937644341801,6.820070034312326,2.6364878963533656
198,1890,2021,31.7,41.3,0.5,43.2,128.9,0.02241112828438949,0.00463678516228748,6.897047058425741,3.1119342763326814
199,5706,2019,15.2,67.8,0.9,42.4,178.03,0.008152173913043478,0.005434782608695652,6.86123490128537,3.2648178230095364
200,5706,2020,14.0,77.1,1.5,42.1,199.18,0.008234688625836336,0.013381369016984045,6.875982322140781,3.2884728005997825
201,5706,2021,13.7,79.0,2.2,42.0,243.6,0.012807881773399015,0.013793103448275862,6.8583943140408286,3.307496037913213
202,1951,2017,35.1,59.0,0.7,41.5,80.67,0.012665198237885462,0.0005506607929515419,6.850952399793493,3.5601458398490475
203,1951,2018,36.1,63.0,0.8,41.8,76.28,0.009105516871987145,0.001339046598821639,6.857875025523563,3.5721743136130595
204,1951,2019,33.6,66.5,1.2,42.1,55.61,0.011202987463323552,0.0013336889837289945,6.868938178332911,3.5739154404215507
205,1951,2020,33.3,66.7,1.5,42.4,70.3,0.01025236593059937,0.001840168243953733,6.878521795501206,3.5802405082653763
206,1951,2021,31.8,63.0,1.6,42.7,67.17,0.007978060334081277,0.002742458239840439,6.880870732532424,3.6032526619816467
207,2216,2017,21.6,50.0,5.0,39.2,85.15,0.03260869565217391,0.002173913043478261,6.751433081819347,2.662757831681574
