,code,îNî≈,åéïΩãœécã∆éûä‘,óLãxéÊìæó¶/ëOä˙,ä«óùêEÅEèóê´î‰ó¶,ïΩãœîNóÓçáåv/ëOä˙,fusaiRate,ÉÅÉìÉ^ÉãÉwÉãÉXãxêEé“ó¶,ïΩãœîNä‘ããó^/ëOä˙ÅiëŒêîÅj,è]ã∆àıêîçáåv/ëOä˙ÅiëŒêîÅj,é©å»ìsçáó£êEó¶
27,4204,2021,18.0,71.4,4.6,40.3,96.9,0.018754688672168042,6.956089154889137,3.4258601450778405,0.014520443255636225
28,4471,2018,8.5,57.1,2.3,39.3,40.72,0.007880220646178092,6.865103974641128,3.103461622094705,0.03253968253968254
29,4471,2019,7.9,53.1,2.3,39.3,31.37,0.00859375,6.865103974641128,3.1072099696478683,0.02364066193853428
30,4471,2020,6.7,58.1,2.6,39.4,32.42,0.010347376201034738,6.861534410859038,3.131297796597623,0.034375
31,4471,2021,5.9,56.4,3.9,39.7,34.62,0.007429420505200594,6.866877814337498,3.1290450598879582,0.032520325203252036
32,4912,2019,15.3,50.7,8.5,43.3,70.12,0.013333333333333334,6.8704713268975315,3.406540180433955,0.006772908366533864
33,4912,2020,14.9,62.4,9.5,43.5,78.9,0.011367803447011368,6.85009005576792,3.43568513794163,0.009411764705882352
34,4912,2021,13.5,73.7,8.9,43.5,57.82,0.011228070175438596,6.849395824884571,3.45484486000851,0.012467913458012467
35,1979,2018,42.0,27.1,1.0,43.8,66.16,0.008298755186721992,6.9861375597051625,3.160168292958512,0.016846361185983826
36,1979,2019,45.0,37.6,1.2,43.8,58.97,0.006089309878213802,6.9515669444420976,3.1696744340588068,0.017289073305670817
37,1979,2020,45.9,45.4,2.3,43.9,48.26,0.005434782608695652,6.96723590215811,3.16790781000148,0.016914749661705007
38,1979,2021,36.7,54.4,2.3,43.6,44.11,0.009440323668240054,7.032030130795551,3.1711411510283822,0.02377717391304348
39,1802,2018,40.3,41.7,7.5,42.3,166.92,0.001290473955889254,6.9780910457986085,3.9306434410421645,0.006069983337300642
40,1802,2019,37.7,43.1,8.0,42.4,159.8,0.0016262051341619235,7.019595910524173,3.934952707817858,0.005865790708587518
41,1802,2020,38.0,43.9,8.8,42.5,135.12,0.0018279447046726837,7.022286387712212,3.9421569284674907,0.005575560459983738
42,1802,2021,38.8,41.9,9.0,42.6,149.0,0.002151999093895118,7.024366281881747,3.9459115168192733,0.006854792642522564
43,2282,2018,27.5,54.3,3.5,42.2,131.07,0.012005649717514125,6.9383909687991645,3.15106325335375,0.009545199326221224
44,8040,2018,2.3,62.8,20.3,42.5,53.82,0.0,6.695891261147024,2.4471580313422194,0.017006802721088437
45,1852,2018,25.5,29.7,0.4,44.0,159.35,0.003218020917135961,6.877368926716055,3.094471128641645,0.018821603927986905
46,1852,2019,29.2,29.6,0.4,44.2,150.99,0.003194888178913738,6.918621738838244,3.097604328874411,0.02172164119066774
47,1852,2020,37.8,38.3,0.6,43.7,113.45,0.004739336492890996,6.936849336491944,3.1024337056813365,0.034345047923322686
48,1852,2021,27.6,45.7,0.5,43.9,100.85,0.0,6.922951885863943,3.1027766148834415,0.036334913112164295
49,5202,2021,14.1,76.2,2.4,44.6,118.13,0.0004985044865403788,6.890848619033466,3.302330928684399,0.00815910249872514
50,5019,2018,10.8,60.9,0.4,42.1,302.86,0.008747813046738315,6.931165818809674,3.6021685513789974,0.0117359413202934
51,5019,2019,13.6,63.2,0.6,42.4,263.24,0.010952623535404993,6.979845587159518,3.5939502952639875,0.010747313171707074
52,5019,2020,14.0,67.4,0.7,42.3,243.35,0.011569416498993963,6.987016392518807,3.5994463757252757,0.012990320937340805
53,5019,2021,18.9,70.0,2.1,42.5,226.5,0.0184870378240544,6.959713217545739,3.6726519228400023,0.015593561368209255
