,証券コード,環境(5),企業統治(5),社会性(5),30歳平均賃金,月平均残業時間,有休取得率/前期,従業員の能力・評価結果の公開,勤続年数合計/前期,3年以内離職率
540,6368.0,3.0,3.0,3.0,295968.0,28.2,51.9,1.0,16.0,0.034482758620689655
544,6113.0,5.0,4.0,4.0,275694.0,1.4,52.5,1.0,17.6,0.18181818181818182
547,6466.0,2.0,3.0,3.0,281899.0,7.7,59.7,1.0,15.3,0.0
548,6463.0,3.0,3.0,3.0,247900.0,5.6,56.8,1.0,19.9,0.0
549,6481.0,4.0,4.0,5.0,274894.0,14.5,53.1,3.0,17.6,0.08333333333333333
553,6472.0,5.0,4.0,5.0,273100.0,3.4,86.7,1.0,19.5,0.06666666666666667
557,6134.0,3.0,3.0,3.0,298575.0,11.1,77.7,3.0,17.9,0.10344827586206896
558,6141.0,4.0,4.0,4.0,313028.0,8.7,127.6,1.0,15.6,0.1134020618556701
559,6407.0,4.0,4.0,4.0,280869.0,19.2,63.6,1.0,15.9,0.11570247933884298
561,6901.0,4.0,4.0,3.0,270461.0,13.3,73.0,1.0,17.8,0.10526315789473684
562,6508.0,4.0,4.0,4.0,263964.0,23.6,64.0,1.0,18.9,0.10309278350515463
564,6856.0,4.0,3.0,4.0,262540.0,12.3,56.1,1.0,13.6,0.15714285714285714
566,6504.0,5.0,5.0,5.0,290120.0,18.4,72.1,1.0,20.6,0.08904109589041095
568,6965.0,5.0,4.0,4.0,292361.0,12.2,72.8,2.0,16.1,0.018867924528301886
570,6779.0,4.0,4.0,3.0,303036.0,15.3,51.3,2.0,16.5,0.16129032258064516
571,6951.0,3.0,3.0,3.0,306502.0,14.6,58.1,1.0,17.8,0.27586206896551724
573,6807.0,4.0,4.0,4.0,296500.0,12.3,70.1,2.0,17.5,0.09090909090909091
574,6849.0,4.0,4.0,4.0,333731.0,15.2,43.3,1.0,14.6,0.057971014492753624
579,6930.0,4.0,3.0,3.0,291976.0,19.0,71.4,1.0,16.2,0.25
580,6958.0,4.0,4.0,3.0,364270.0,21.4,52.9,1.0,16.2,0.15
581,6651.0,4.0,3.0,3.0,255774.0,18.8,70.6,1.0,16.1,0.14545454545454545
582,3105.0,5.0,5.0,4.0,319850.0,4.2,67.6,1.0,20.0,0.15151515151515152
583,6641.0,5.0,5.0,5.0,277118.0,23.0,64.7,1.0,18.2,0.10869565217391304
586,6588.0,5.0,4.0,5.0,296164.0,18.9,60.6,1.0,18.4,0.11578947368421053
588,8035.0,5.0,5.0,5.0,343643.0,34.9,62.5,1.0,17.6,0.06043956043956044
590,6706.0,3.0,3.0,3.0,256278.0,22.6,53.8,1.0,15.7,0.08333333333333333
593,6976.0,4.0,4.0,4.0,297376.0,16.3,64.5,3.0,18.8,0.09722222222222222
595,6981.0,5.0,5.0,5.0,308308.0,15.3,67.1,1.0,14.7,0.02710843373493976
598,6844.0,5.0,5.0,5.0,291163.0,6.5,54.5,1.0,17.6,0.1
599,6967.0,4.0,3.0,3.0,309250.0,14.1,62.6,1.0,21.6,0.05714285714285714
601,7276.0,4.0,4.0,3.0,265840.0,9.8,75.0,2.0,19.1,0.06818181818181818
602,6637.0,3.0,3.0,3.0,292799.0,11.4,74.5,1.0,18.7,0.22727272727272727
604,6503.0,5.0,4.0,5.0,322500.0,23.5,70.5,1.0,16.6,0.07194244604316546
607,6643.0,3.0,3.0,3.0,274978.0,9.4,43.1,2.0,15.1,0.0
608,6814.0,3.0,3.0,4.0,280691.0,13.6,72.1,1.0,14.8,0.07317073170731707
617,6506.0,4.0,4.0,4.0,296928.0,16.0,75.6,1.0,18.7,0.057971014492753624
619,6963.0,5.0,5.0,5.0,406807.0,17.1,62.0,1.0,14.7,0.1793103448275862
623,6479.0,5.0,5.0,5.0,257388.0,2.9,65.6,1.0,16.3,0.1076923076923077
624,6592.0,4.0,4.0,4.0,288067.0,7.5,73.1,1.0,18.0,0.14285714285714285
625,6810.0,5.0,4.0,5.0,321539.0,13.8,68.8,1.0,19.2,0.08695652173913043
626,6745.0,3.0,3.0,3.0,261673.0,21.8,68.8,1.0,14.1,0.1276595744680851
628,6448.0,5.0,4.0,4.0,345000.0,18.0,73.3,1.0,15.5,0.013157894736842105
629,6794.0,4.0,4.0,5.0,278042.0,9.6,50.0,1.0,16.0,0.2222222222222222
631,6954.0,3.0,4.0,3.0,369260.0,36.3,86.0,2.0,14.2,0.027777777777777776
632,6806.0,4.0,3.0,3.0,316800.0,15.6,56.4,2.0,12.4,0.045454545454545456
635,6996.0,5.0,3.0,4.0,336800.0,8.4,70.9,1.0,10.1,0.15873015873015872
636,6715.0,3.0,3.0,3.0,215117.0,16.8,74.4,2.0,18.1,0.42857142857142855
637,6616.0,3.0,3.0,3.0,265000.0,21.0,60.0,1.0,11.4,0.16666666666666666
639,6850.0,4.0,4.0,3.0,259466.0,9.0,55.8,1.0,15.3,0.13636363636363635
640,6768.0,5.0,5.0,5.0,271100.0,8.9,62.5,1.0,17.0,0.25
642,6622.0,4.0,3.0,4.0,290431.0,18.8,49.9,1.0,16.8,0.05555555555555555
644,6724.0,5.0,5.0,5.0,303030.0,13.1,82.4,1.0,19.1,0.07123287671232877
645,6817.0,3.0,3.0,3.0,398420.0,2.5,71.3,1.0,13.6,0.0
647,6740.0,4.0,4.0,4.0,264650.0,14.2,60.8,1.0,19.9,0.21428571428571427
649,6869.0,4.0,5.0,5.0,269379.0,21.9,58.1,1.0,12.5,0.034482758620689655
652,6707.0,5.0,3.0,5.0,293280.0,8.4,52.9,1.0,19.3,0.2727272727272727
653,6639.0,4.0,4.0,5.0,266000.0,16.2,70.3,1.0,20.1,0.18181818181818182
654,4902.0,5.0,5.0,5.0,329725.0,15.7,54.2,1.0,20.3,0.14583333333333334
657,7751.0,5.0,4.0,5.0,331000.0,9.4,82.0,1.0,19.7,0.05
659,6952.0,4.0,5.0,5.0,336000.0,16.0,59.1,1.0,18.8,0.2
660,6513.0,4.0,4.0,4.0,281367.0,5.5,60.9,2.0,17.2,0.14285714285714285
661,6645.0,5.0,5.0,5.0,285873.0,12.2,63.6,1.0,19.3,0.1485148514851485
662,6914.0,3.0,4.0,4.0,297000.0,14.8,52.0,1.0,15.5,0.0
667,6859.0,5.0,4.0,4.0,314887.0,8.0,65.8,1.0,19.1,0.0
668,6925.0,4.0,4.0,4.0,324500.0,10.4,68.5,1.0,19.5,0.0
673,6754.0,5.0,5.0,5.0,279910.0,11.8,70.4,2.0,20.7,0.07407407407407407
674,6770.0,4.0,4.0,4.0,295875.0,9.6,61.4,1.0,19.7,0.0611353711790393
675,6728.0,5.0,4.0,4.0,278750.0,16.6,64.3,1.0,16.9,0.05714285714285714
677,6857.0,5.0,5.0,4.0,353083.0,19.6,68.7,1.0,21.2,0.0
678,6845.0,5.0,5.0,5.0,310000.0,20.2,74.0,1.0,20.1,0.06796116504854369
679,6762.0,5.0,5.0,4.0,306304.0,16.7,53.6,1.0,18.3,0.04519774011299435
681,7735.0,5.0,5.0,5.0,301000.0,19.8,78.9,1.0,18.4,0.015151515151515152
682,6703.0,5.0,5.0,4.0,289767.0,24.9,53.0,3.0,19.5,0.06930693069306931
683,6701.0,5.0,5.0,5.0,298985.0,19.9,55.8,1.0,18.9,0.09259259259259259
685,6632.0,5.0,5.0,4.0,282831.0,11.1,43.6,1.0,23.7,0.07317073170731707
686,6652.0,5.0,4.0,5.0,387359.0,1.6,81.6,1.0,17.3,0.18518518518518517
687,6866.0,3.0,3.0,3.0,305700.0,8.0,60.0,1.0,19.3,0.05
689,6737.0,4.0,4.0,3.0,275500.0,11.6,73.9,1.0,16.1,0.06896551724137931
690,6633.0,2.0,2.0,2.0,335855.0,11.6,54.8,1.0,16.4,0.25
694,7282.0,5.0,5.0,5.0,265505.0,7.9,79.5,1.0,18.0,0.06535947712418301
695,7220.0,5.0,4.0,4.0,349104.0,15.3,56.3,1.0,15.5,0.14705882352941177
697,7205.0,5.0,5.0,5.0,294112.0,11.5,84.5,1.0,16.4,0.22176591375770022
701,7235.0,4.0,3.0,3.0,257509.0,14.0,50.2,1.0,15.9,0.14285714285714285
702,6995.0,5.0,5.0,5.0,301500.0,11.7,87.9,1.0,18.8,0.08074534161490683
703,7245.0,4.0,4.0,4.0,247255.0,12.8,82.6,1.0,15.3,0.06382978723404255
704,7250.0,4.0,4.0,3.0,248000.0,20.9,55.6,1.0,13.8,0.1875
705,7012.0,5.0,5.0,5.0,343165.0,17.2,72.3,3.0,14.3,0.07871198568872988
706,7224.0,4.0,3.0,4.0,259000.0,25.9,62.1,1.0,14.3,0.18095238095238095
707,7238.0,3.0,4.0,4.0,275024.0,10.0,87.0,1.0,19.3,0.2647058823529412
712,7266.0,3.0,3.0,3.0,267070.0,12.9,51.6,3.0,18.9,0.05555555555555555
713,7226.0,4.0,4.0,4.0,242721.0,29.5,61.8,1.0,14.9,0.1891891891891892
715,7271.0,3.0,3.0,3.0,307254.0,21.6,57.0,1.0,17.4,0.1111111111111111
719,5949.0,4.0,4.0,4.0,278030.0,18.3,73.6,1.0,17.7,0.14492753623188406
720,7272.0,5.0,5.0,5.0,286932.0,9.9,84.2,1.0,17.7,0.03816793893129771
722,7261.0,5.0,5.0,5.0,292270.0,14.9,86.3,1.0,17.4,0.06761006289308176
725,7241.0,4.0,3.0,3.0,356444.0,20.1,87.1,2.0,15.3,0.09649122807017543
726,7299.0,3.0,3.0,3.0,275265.0,13.2,56.0,3.0,15.8,0.22916666666666666
728,3116.0,5.0,5.0,5.0,264664.0,13.5,89.6,3.0,17.0,0.032432432432432434
730,7203.0,5.0,5.0,5.0,327300.0,19.8,87.9,1.0,18.2,0.059251559251559255
732,6902.0,5.0,4.0,5.0,326118.0,14.8,96.6,1.0,22.1,0.05167173252279635
733,7236.0,5.0,4.0,4.0,275940.0,13.1,61.5,1.0,17.0,0.1724137931034483
734,7313.0,4.0,5.0,4.0,304155.0,11.3,96.6,1.0,17.1,0.04
736,7239.0,4.0,4.0,4.0,260191.0,11.0,67.6,1.0,13.4,0.19230769230769232
739,7408.0,3.0,4.0,4.0,268543.0,13.5,67.3,1.0,17.6,0.16666666666666666
741,7212.0,4.0,3.0,3.0,253724.0,5.9,92.1,1.0,16.7,0.12
744,7278.0,4.0,4.0,4.0,275000.0,10.6,72.9,1.0,14.6,0.3113207547169811
745,7202.0,5.0,4.0,5.0,374117.0,21.4,80.4,1.0,19.0,0.07211538461538461
746,7259.0,5.0,5.0,5.0,301763.0,22.2,98.0,1.0,15.8,0.1184593023255814
748,7240.0,5.0,4.0,4.0,278300.0,9.8,72.4,2.0,17.8,0.05442176870748299
749,7242.0,4.0,5.0,4.0,269814.0,15.8,62.8,2.0,16.1,0.14423076923076922
751,7734.0,3.0,3.0,3.0,299830.0,18.1,66.6,1.0,15.9,0.2
754,7701.0,5.0,5.0,5.0,314525.0,2.2,70.8,1.0,18.2,0.03389830508474576
755,7715.0,3.0,3.0,3.0,226954.0,3.4,59.7,1.0,18.1,0.03125
756,7723.0,3.0,4.0,3.0,251541.0,16.2,62.4,3.0,16.2,0.16666666666666666
758,7780.0,3.0,3.0,3.0,247400.0,4.4,63.2,1.0,12.9,0.17307692307692307
759,7730.0,3.0,3.0,3.0,302964.0,4.3,75.1,1.0,15.8,0.18181818181818182
760,7731.0,5.0,5.0,5.0,312937.0,21.6,63.0,1.0,16.5,0.03636363636363636
761,7732.0,4.0,3.0,4.0,344000.0,13.1,56.7,1.0,16.3,0.28
762,4543.0,4.0,5.0,4.0,357142.0,16.1,59.9,1.0,17.2,0.05612244897959184
763,7740.0,5.0,4.0,4.0,278036.0,11.2,72.0,1.0,16.4,0.1
765,7774.0,3.0,3.0,3.0,270250.0,13.0,59.0,1.0,8.4,0.0
766,7762.0,4.0,4.0,5.0,289550.0,6.3,64.4,1.0,17.8,0.05263157894736842
769,7733.0,5.0,5.0,5.0,330759.0,6.6,57.2,1.0,15.0,0.07166123778501629
770,7727.0,3.0,3.0,3.0,241033.0,8.9,55.4,2.0,16.6,0.07142857142857142
779,7811.0,3.0,3.0,3.0,270000.0,12.2,49.7,1.0,12.2,0.3
780,7875.0,3.0,4.0,3.0,248700.0,20.3,54.0,1.0,16.9,0.1111111111111111
782,7905.0,5.0,5.0,5.0,281780.0,9.3,65.8,1.0,17.4,0.2033898305084746
788,7914.0,4.0,5.0,4.0,257031.0,26.0,57.8,1.0,16.6,0.2463768115942029
789,7953.0,2.0,2.0,2.0,283632.0,6.0,59.1,1.0,13.5,0.30434782608695654
790,7966.0,5.0,4.0,4.0,297100.0,6.0,61.8,1.0,19.1,0.14473684210526316
793,7951.0,5.0,5.0,5.0,290900.0,16.5,71.4,2.0,19.4,0.04918032786885246
794,8022.0,4.0,4.0,4.0,286074.0,4.4,43.6,1.0,19.9,0.07142857142857142
798,7956.0,4.0,4.0,4.0,275444.0,6.7,63.6,1.0,15.0,0.0
801,7932.0,3.0,3.0,3.0,239432.0,1.8,89.6,1.0,16.4,0.06666666666666667
804,7862.0,5.0,4.0,4.0,331727.0,20.1,58.8,1.0,17.3,0.11428571428571428
808,7883.0,4.0,4.0,4.0,236300.0,14.0,46.4,1.0,20.6,0.2857142857142857
812,7955.0,4.0,4.0,4.0,259210.0,13.8,53.2,1.0,15.8,0.27419354838709675
814,7994.0,5.0,4.0,5.0,270205.0,18.3,59.2,1.0,16.8,0.10619469026548672
817,7972.0,5.0,4.0,4.0,310836.0,20.3,48.4,1.0,15.3,0.13414634146341464
818,7936.0,5.0,5.0,5.0,322182.0,13.5,57.1,1.0,13.1,0.0967741935483871
820,7823.0,2.0,3.0,3.0,271100.0,10.7,39.8,1.0,10.7,0.36363636363636365
821,7915.0,4.0,4.0,4.0,252305.0,13.3,56.3,3.0,14.4,0.1111111111111111
824,9506.0,5.0,4.0,5.0,334100.0,24.2,75.4,1.0,19.6,0.048109965635738834
830,9532.0,5.0,5.0,5.0,319000.0,16.5,87.1,1.0,17.6,0.07142857142857142
836,9551.0,4.0,4.0,4.0,277626.0,20.1,71.3,1.0,17.7,0.0
839,9086.0,5.0,5.0,4.0,275104.0,28.1,69.8,3.0,19.8,0.0
840,9062.0,4.0,5.0,5.0,345292.0,24.0,44.9,1.0,16.0,0.1787709497206704
844,9005.0,5.0,4.0,5.0,359800.0,17.3,73.0,1.0,15.5,0.12041884816753927
849,9021.0,4.0,5.0,5.0,306869.0,9.1,86.5,1.0,16.5,0.06646525679758308
852,9065.0,3.0,3.0,3.0,276744.0,25.7,64.0,1.0,14.1,0.3357271095152603
855,9142.0,3.0,4.0,4.0,261979.0,11.1,77.0,2.0,14.1,0.14761904761904762
858,9045.0,3.0,3.0,3.0,334038.0,21.1,61.4,1.0,19.7,0.125
861,9090.0,2.0,3.0,3.0,346328.0,53.0,67.0,1.0,8.7,0.5116279069767442
862,9068.0,3.0,3.0,3.0,263000.0,33.9,44.7,1.0,16.4,0.07894736842105263
865,9064.0,4.0,5.0,4.0,364169.0,25.1,89.5,1.0,14.6,0.2859195402298851
869,9069.0,4.0,4.0,4.0,413400.0,31.9,57.4,1.0,15.8,0.23357664233576642
872,9055.0,3.0,3.0,3.0,290171.0,16.5,78.1,1.0,14.3,0.15217391304347827
873,9143.0,4.0,4.0,4.0,337373.0,20.5,58.1,1.0,9.6,0.48484848484848486
876,9119.0,4.0,4.0,3.0,325700.0,25.4,39.4,1.0,13.3,0.0
877,9101.0,5.0,5.0,5.0,412300.0,20.7,61.9,1.0,14.1,0.0625
878,9107.0,5.0,5.0,4.0,345900.0,30.0,50.7,1.0,14.4,0.0
879,9104.0,5.0,5.0,5.0,505850.0,43.8,37.0,1.0,14.1,0.07692307692307693
881,9233.0,4.0,4.0,4.0,377162.0,26.4,43.2,1.0,14.1,0.20689655172413793
882,9202.0,5.0,5.0,5.0,300000.0,3.9,46.5,1.0,12.5,0.12299465240641712
883,9304.0,3.0,3.0,3.0,252042.0,36.0,46.8,1.0,18.2,0.0
886,9066.0,4.0,4.0,4.0,270660.0,27.1,50.0,1.0,13.3,0.22
887,9384.0,3.0,3.0,3.0,276960.0,10.2,43.0,1.0,11.0,0.0
891,9301.0,3.0,4.0,3.0,339600.0,26.7,52.4,1.0,15.7,0.0425531914893617
892,9302.0,3.0,4.0,3.0,266601.0,21.7,55.9,1.0,14.7,0.19047619047619047
893,9375.0,3.0,4.0,3.0,282421.0,18.0,31.7,1.0,11.8,0.18292682926829268
900,4307.0,5.0,4.0,4.0,370000.0,33.5,64.1,1.0,14.7,0.0761904761904762
901,9749.0,4.0,4.0,5.0,270831.0,23.3,67.5,1.0,9.8,0.24375
903,9432.0,5.0,5.0,5.0,306410.0,18.0,82.9,1.0,18.3,0.08955223880597014
904,8056.0,5.0,5.0,5.0,308624.0,14.8,70.9,1.0,21.0,0.07142857142857142
906,2327.0,3.0,4.0,3.0,310000.0,11.4,68.5,1.0,12.7,0.06944444444444445
910,4430.0,2.0,3.0,2.0,299595.0,16.5,81.3,2.0,11.2,0.075
911,8157.0,3.0,3.0,3.0,314000.0,27.2,80.5,1.0,19.7,0.08928571428571429
915,4768.0,3.0,4.0,3.0,297300.0,15.2,58.9,1.0,17.2,0.22972972972972974
921,9470.0,3.0,4.0,3.0,284517.0,21.9,58.0,1.0,20.7,0.08695652173913043
922,4739.0,5.0,5.0,5.0,303856.0,15.7,61.0,1.0,13.4,0.05128205128205128
926,3857.0,3.0,3.0,3.0,426643.0,12.4,54.8,1.0,10.8,0.1323529411764706
935,9441.0,3.0,3.0,3.0,285921.0,24.2,44.3,1.0,5.3,0.2840909090909091
954,4728.0,3.0,3.0,3.0,323977.0,20.6,62.9,1.0,8.1,0.14814814814814814
956,3762.0,3.0,3.0,2.0,319375.0,20.1,45.1,1.0,8.2,0.0625
959,3738.0,3.0,3.0,4.0,275500.0,18.4,69.9,1.0,10.5,0.3364485981308411
964,9434.0,4.0,5.0,5.0,310699.0,27.2,61.8,1.0,12.7,0.215
974,3826.0,3.0,3.0,3.0,285348.0,20.7,65.2,1.0,6.7,0.2857142857142857
975,2317.0,3.0,3.0,3.0,315175.0,13.5,62.1,1.0,6.8,0.27167630057803466
976,9692.0,3.0,4.0,4.0,272000.0,17.1,70.5,1.0,16.6,0.18181818181818182
979,3744.0,3.0,3.0,3.0,370278.0,17.5,58.2,1.0,1.7,0.25
982,9422.0,4.0,5.0,4.0,223825.0,12.4,68.2,1.0,8.1,0.35585585585585583
984,2307.0,2.0,3.0,3.0,285667.0,22.2,66.1,1.0,12.1,0.14285714285714285
988,2332.0,3.0,3.0,3.0,245000.0,18.3,56.8,1.0,12.4,0.23684210526315788
991,3799.0,4.0,4.0,4.0,269460.0,22.1,58.0,1.0,17.6,0.25806451612903225
998,3987.0,2.0,2.0,2.0,319000.0,1.1,69.2,1.0,3.5,0.0
1001,7860.0,3.0,3.0,3.0,387741.0,20.0,53.7,1.0,12.8,0.05
1003,4825.0,3.0,4.0,3.0,410900.0,12.0,42.1,1.0,10.0,0.23076923076923078
1005,4769.0,3.0,2.0,2.0,325845.0,18.0,82.8,1.0,13.4,0.11428571428571428
1007,4326.0,3.0,4.0,3.0,307157.0,21.4,47.3,1.0,16.7,0.10344827586206896
1014,9600.0,3.0,3.0,3.0,249822.0,11.6,61.2,1.0,16.7,0.2727272727272727
1015,3660.0,1.0,3.0,3.0,360420.0,13.4,55.6,1.0,3.9,0.47368421052631576
1016,9753.0,3.0,3.0,3.0,413589.0,12.5,71.2,1.0,14.1,0.23376623376623376
1017,9702.0,3.0,3.0,3.0,277609.0,20.2,63.5,1.0,12.9,0.34782608695652173
1018,4689.0,4.0,5.0,5.0,376433.0,19.0,60.9,1.0,6.5,0.19230769230769232
1021,3626.0,4.0,5.0,5.0,310166.0,17.9,66.7,1.0,14.7,0.14553990610328638
1023,9719.0,4.0,4.0,5.0,412208.0,20.6,88.7,1.0,18.4,0.02575107296137339
1024,3839.0,3.0,3.0,2.0,257000.0,20.0,55.0,1.0,13.6,0.0
1028,9613.0,4.0,5.0,5.0,283460.0,25.4,80.5,1.0,14.8,0.0430622009569378
1030,9739.0,3.0,3.0,3.0,277333.0,19.5,60.0,1.0,14.4,0.2564102564102564
1033,1973.0,5.0,5.0,5.0,292965.0,22.3,60.0,1.0,16.8,0.17525773195876287
1037,9433.0,5.0,5.0,5.0,311826.0,19.5,73.9,1.0,17.6,0.041811846689895474
1040,4832.0,3.0,3.0,3.0,277017.0,22.2,64.5,2.0,19.0,0.1
1041,9889.0,3.0,4.0,4.0,325700.0,12.5,56.2,1.0,17.7,0.39655172413793105
1043,4709.0,3.0,4.0,4.0,258431.0,10.1,83.5,1.0,14.9,0.391304347826087
1046,9449.0,3.0,3.0,3.0,390053.0,15.4,50.3,3.0,6.1,0.16666666666666666
1051,9682.0,4.0,3.0,3.0,273041.0,21.8,68.9,1.0,14.6,0.16030534351145037
1054,8159.0,3.0,3.0,3.0,255522.0,11.7,46.5,3.0,16.8,0.1
1058,8015.0,5.0,5.0,5.0,355172.0,18.0,52.9,1.0,16.7,0.12857142857142856
1060,8068.0,4.0,4.0,3.0,294000.0,18.3,48.4,1.0,15.7,0.0
1061,8084.0,4.0,3.0,3.0,261750.0,12.9,62.6,1.0,17.5,0.2
1062,3153.0,4.0,5.0,4.0,313194.0,15.5,65.8,1.0,18.0,0.4074074074074074
1063,7433.0,4.0,3.0,4.0,371130.0,6.8,61.6,1.0,13.8,0.07692307692307693
1065,8032.0,3.0,4.0,3.0,361154.0,25.0,67.7,1.0,18.8,0.1111111111111111
1070,9902.0,3.0,3.0,3.0,269811.0,6.3,57.3,1.0,12.5,0.24193548387096775
1076,2760.0,3.0,3.0,3.0,308973.0,15.0,57.6,1.0,13.4,0.22727272727272727
1077,9960.0,3.0,3.0,3.0,309827.0,21.4,53.0,1.0,11.7,0.1111111111111111
1080,8012.0,4.0,4.0,4.0,455278.0,17.2,54.2,1.0,14.8,0.07894736842105263
1082,8145.0,2.0,2.0,3.0,271500.0,22.0,32.9,1.0,21.8,0.5
1086,7458.0,3.0,4.0,3.0,288494.0,11.0,49.5,1.0,11.4,0.2558139534883721
1088,2768.0,5.0,5.0,4.0,438600.0,20.6,64.4,1.0,15.4,0.058333333333333334
1091,3004.0,3.0,3.0,3.0,304138.0,4.2,49.7,1.0,14.1,0.2222222222222222
1095,8053.0,5.0,5.0,5.0,502000.0,12.8,64.8,1.0,18.1,0.018518518518518517
1097,8051.0,4.0,4.0,4.0,397055.0,22.6,57.6,1.0,13.5,0.24742268041237114
1099,8058.0,5.0,5.0,4.0,475570.0,27.2,54.8,1.0,18.4,0.04678362573099415
1102,8031.0,5.0,5.0,5.0,479824.0,6.4,60.0,1.0,18.2,0.0379746835443038
1104,8078.0,4.0,3.0,3.0,355068.0,23.8,60.2,1.0,12.5,0.18
1109,8020.0,3.0,4.0,4.0,408382.0,18.1,62.4,1.0,13.8,0.06818181818181818
1111,8088.0,4.0,3.0,4.0,367500.0,7.8,54.6,1.0,15.5,0.078125
1112,7537.0,3.0,4.0,4.0,317300.0,19.4,57.8,1.0,15.5,0.16
1114,9869.0,3.0,3.0,3.0,301248.0,14.6,57.8,2.0,15.4,0.175
1115,8154.0,4.0,3.0,3.0,380459.0,13.0,53.2,3.0,15.4,0.0
1116,7485.0,4.0,4.0,5.0,393545.0,13.0,47.7,1.0,12.8,0.10344827586206896
1117,7443.0,3.0,2.0,2.0,258330.0,21.5,39.2,1.0,22.3,1.0
1120,8098.0,3.0,4.0,3.0,365485.0,14.2,48.7,1.0,13.6,0.1111111111111111
1122,8001.0,5.0,5.0,5.0,450000.0,11.6,52.6,1.0,17.9,0.0364963503649635
1123,8133.0,4.0,4.0,4.0,349926.0,9.6,83.0,1.0,13.5,0.041666666666666664
1125,8140.0,4.0,4.0,3.0,300000.0,8.5,42.3,1.0,16.2,0.16
1127,8074.0,3.0,3.0,4.0,378000.0,15.7,52.1,1.0,12.3,0.1076923076923077
1130,9837.0,3.0,3.0,3.0,284490.0,6.7,50.6,1.0,10.6,0.09090909090909091
1131,8153.0,4.0,5.0,4.0,266273.0,14.4,56.4,1.0,16.7,0.3333333333333333
1132,7459.0,3.0,3.0,3.0,296100.0,10.2,45.1,3.0,16.9,0.05555555555555555
1138,8228.0,3.0,3.0,3.0,265141.0,26.1,48.1,1.0,16.2,0.2
1141,8275.0,3.0,3.0,3.0,530148.0,3.8,63.9,1.0,10.4,0.48
1144,7552.0,3.0,3.0,3.0,350138.0,13.3,59.3,2.0,14.3,0.16666666666666666
1149,8085.0,3.0,3.0,3.0,268000.0,4.4,60.7,1.0,16.1,0.25
1151,9830.0,4.0,4.0,4.0,282631.0,11.3,67.6,1.0,13.6,0.2457627118644068
1152,8142.0,3.0,4.0,4.0,244970.0,3.6,48.9,1.0,16.5,0.296875
1155,8249.0,4.0,4.0,3.0,287548.0,6.3,59.9,3.0,17.0,0.15
1158,7510.0,3.0,3.0,3.0,342333.0,8.8,51.8,3.0,16.7,0.0
1166,8043.0,3.0,3.0,3.0,399618.0,28.8,36.5,1.0,12.8,0.32
1167,7482.0,3.0,3.0,3.0,265000.0,9.2,66.8,1.0,15.2,0.14705882352941177
1168,8132.0,3.0,4.0,4.0,342500.0,15.9,48.8,1.0,10.0,0.21428571428571427
1171,8130.0,4.0,4.0,4.0,261000.0,22.1,66.5,1.0,15.8,0.08108108108108109
1175,9995.0,3.0,3.0,4.0,305125.0,10.5,86.9,1.0,13.8,0.2
1178,3024.0,2.0,3.0,2.0,296100.0,20.5,51.7,1.0,14.8,0.5454545454545454
1182,8081.0,3.0,4.0,3.0,327305.0,12.9,47.8,1.0,17.6,0.0
1184,9832.0,3.0,3.0,3.0,306506.0,5.5,62.2,1.0,16.1,0.2222222222222222
1191,9964.0,2.0,2.0,2.0,252765.0,9.2,60.8,1.0,9.8,0.07142857142857142
1196,7624.0,3.0,3.0,2.0,270667.0,13.1,37.7,1.0,17.8,0.08333333333333333
1197,8101.0,3.0,3.0,2.0,275533.0,7.8,63.0,1.0,16.0,0.23076923076923078
1198,7453.0,3.0,5.0,4.0,248684.0,14.0,45.3,1.0,7.3,0.35
1201,8276.0,4.0,3.0,4.0,281990.0,11.6,70.9,1.0,17.7,0.39037433155080214
1203,3192.0,3.0,3.0,3.0,246067.0,12.9,69.4,1.0,5.7,0.0
1205,2702.0,3.0,3.0,4.0,349843.0,18.7,49.6,1.0,13.2,0.36619718309859156
1206,9873.0,3.0,4.0,4.0,260887.0,13.2,50.3,1.0,15.0,0.2894736842105263
1208,9846.0,2.0,3.0,3.0,233433.0,3.7,44.1,1.0,17.6,0.5
1211,8219.0,4.0,4.0,3.0,238154.0,17.3,71.5,1.0,13.0,0.30357142857142855
1214,3099.0,4.0,5.0,5.0,310320.0,4.5,63.3,1.0,20.9,0.20434782608695654
1215,8233.0,4.0,4.0,4.0,286913.0,4.1,53.7,1.0,24.1,0.11688311688311688
1216,9853.0,3.0,3.0,3.0,280100.0,1.5,128.0,1.0,10.8,0.75
1217,8252.0,4.0,5.0,5.0,303132.0,3.9,57.5,1.0,15.8,0.125
1218,9936.0,3.0,3.0,3.0,334354.0,28.5,44.1,1.0,10.5,0.375
1221,7522.0,5.0,3.0,3.0,281098.0,26.1,30.3,1.0,6.9,0.6785714285714286
1224,2651.0,5.0,4.0,4.0,290154.0,9.4,54.2,1.0,13.6,0.18716577540106952
1226,8167.0,3.0,3.0,3.0,260355.0,14.0,45.1,1.0,15.0,0.42857142857142855
1228,7606.0,3.0,3.0,3.0,248762.0,7.6,58.5,1.0,7.8,0.3004484304932735
1229,8190.0,3.0,3.0,3.0,239571.0,21.3,49.7,1.0,22.3,0.5263157894736842
1230,9831.0,3.0,5.0,4.0,277411.0,10.9,48.0,1.0,13.8,0.40229885057471265
1231,9993.0,3.0,3.0,3.0,306011.0,5.1,34.2,2.0,18.4,0.16666666666666666
