,証券コード,環境(5),企業統治(5),社会性(5),30歳平均賃金,月平均残業時間,有休取得率/前期,従業員の能力・評価結果の公開,勤続年数合計/前期,3年以内離職率
105,2206.0,4.0,5.0,4.0,387310.0,23.7,68.1,1.0,17.7,0.1111111111111111
106,2220.0,3.0,3.0,3.0,301000.0,7.9,65.5,1.0,20.2,0.0625
110,2209.0,3.0,3.0,3.0,258492.0,17.0,56.3,2.0,13.5,0.09090909090909091
111,2593.0,4.0,4.0,5.0,330000.0,28.6,53.9,1.0,16.0,0.24390243902439024
113,2805.0,4.0,4.0,4.0,317500.0,12.0,72.0,1.0,13.9,0.14634146341463414
117,2931.0,3.0,3.0,3.0,404726.0,25.0,61.2,1.0,4.3,0.0
118,2267.0,5.0,4.0,5.0,297974.0,8.1,71.7,1.0,18.4,0.07526881720430108
119,2217.0,3.0,3.0,3.0,268660.0,6.6,64.8,1.0,14.4,0.1875
120,4404.0,3.0,3.0,3.0,281967.0,10.7,60.1,1.0,18.0,0.17391304347826086
123,2060.0,3.0,3.0,3.0,286467.0,6.9,54.3,1.0,15.3,0.06666666666666667
124,2810.0,4.0,4.0,5.0,325162.0,17.5,61.4,1.0,20.3,0.12857142857142856
125,2001.0,4.0,4.0,4.0,312039.0,15.4,63.0,1.0,16.3,0.18
126,2871.0,4.0,4.0,4.0,236840.0,17.3,59.7,1.0,16.8,0.14606741573033707
131,2501.0,5.0,5.0,5.0,326600.0,14.5,60.0,1.0,16.5,0.038461538461538464
132,2579.0,4.0,5.0,5.0,326594.0,15.4,49.2,1.0,17.0,0.25769230769230766
133,2503.0,5.0,5.0,5.0,318793.0,20.1,67.1,1.0,17.5,0.053763440860215055
134,2809.0,5.0,5.0,5.0,318344.0,15.9,61.7,1.0,15.3,0.10204081632653061
135,2801.0,5.0,4.0,4.0,360016.0,12.4,74.3,1.0,13.4,0.03125
137,2216.0,4.0,4.0,4.0,337502.0,12.5,63.3,1.0,13.7,0.20833333333333334
138,2229.0,4.0,4.0,5.0,338686.0,13.8,67.8,1.0,14.9,0.16666666666666666
139,2811.0,5.0,4.0,4.0,308300.0,14.2,83.0,1.0,16.8,0.019230769230769232
141,2533.0,3.0,3.0,3.0,245555.0,6.0,79.1,1.0,17.3,0.2222222222222222
144,2815.0,3.0,4.0,3.0,350000.0,7.0,29.9,2.0,14.3,0.3333333333333333
145,2502.0,5.0,5.0,5.0,305757.0,18.3,60.6,1.0,14.0,0.059880239520958084
146,2613.0,4.0,5.0,4.0,285000.0,16.9,63.7,1.0,16.8,0.05
147,2914.0,5.0,5.0,5.0,307360.0,17.8,84.0,1.0,18.1,0.07975460122699386
152,3512.0,3.0,3.0,3.0,308900.0,1.1,51.8,2.0,23.0,0.1
153,3101.0,4.0,5.0,4.0,305644.0,9.4,64.0,1.0,17.0,0.13861386138613863
154,8040.0,3.0,3.0,3.0,254487.0,4.4,78.1,1.0,15.5,0.42857142857142855
155,3402.0,5.0,5.0,5.0,310533.0,9.1,80.2,1.0,15.9,0.08270676691729323
156,3401.0,5.0,5.0,5.0,393576.0,13.5,70.4,1.0,18.6,0.05
158,3580.0,4.0,3.0,3.0,287472.0,3.5,51.3,1.0,16.6,0.18604651162790697
159,8011.0,3.0,3.0,3.0,279300.0,9.7,60.0,1.0,13.9,0.23529411764705882
160,3591.0,3.0,4.0,4.0,284019.0,3.2,77.4,1.0,15.0,0.13157894736842105
162,3103.0,3.0,3.0,3.0,272946.0,8.5,52.6,2.0,18.1,0.20930232558139536
166,8114.0,3.0,4.0,4.0,287306.0,11.8,68.1,1.0,15.9,0.047619047619047616
167,3551.0,3.0,3.0,3.0,265588.0,12.7,51.7,2.0,17.6,0.10526315789473684
170,8111.0,4.0,4.0,4.0,313944.0,18.6,47.8,1.0,17.3,0.16129032258064516
171,3002.0,4.0,4.0,5.0,312606.0,5.7,66.8,1.0,20.2,0.19047619047619047
175,3865.0,4.0,3.0,3.0,251033.0,13.8,57.1,1.0,19.7,0.28846153846153844
176,3863.0,4.0,5.0,5.0,337500.0,14.5,67.9,1.0,21.1,0.11764705882352941
180,3880.0,5.0,5.0,4.0,264226.0,20.8,65.7,1.0,17.7,0.14864864864864866
182,3861.0,5.0,5.0,5.0,276610.0,12.6,81.0,1.0,16.6,0.16666666666666666
183,3941.0,5.0,5.0,5.0,316600.0,18.0,63.9,1.0,15.3,0.17073170731707318
184,3946.0,4.0,4.0,3.0,249650.0,8.4,44.5,1.0,14.0,0.29411764705882354
186,5208.0,3.0,3.0,3.0,339431.0,14.0,51.6,1.0,20.0,0.0
188,4112.0,5.0,5.0,4.0,274270.0,10.0,64.5,1.0,17.1,0.23076923076923078
190,4368.0,3.0,3.0,3.0,255063.0,13.6,63.7,1.0,12.9,0.16666666666666666
191,4901.0,5.0,5.0,5.0,361000.0,12.2,60.2,1.0,19.2,0.06315789473684211
192,4403.0,5.0,4.0,4.0,315100.0,13.0,69.3,1.0,18.9,0.06382978723404255
194,4619.0,4.0,3.0,3.0,274526.0,10.5,54.6,1.0,17.1,0.2692307692307692
195,4041.0,4.0,4.0,4.0,303252.0,7.5,72.8,1.0,20.0,0.044444444444444446
197,4114.0,4.0,4.0,4.0,355000.0,15.3,67.2,1.0,16.4,0.09803921568627451
199,4091.0,4.0,4.0,4.0,301600.0,17.6,60.3,1.0,16.4,0.07142857142857142
200,4272.0,4.0,4.0,5.0,342346.0,11.3,65.8,1.0,14.6,0.07142857142857142
202,4612.0,4.0,5.0,5.0,391050.0,15.8,54.1,1.0,13.4,0.10714285714285714
205,4205.0,4.0,5.0,4.0,353500.0,16.2,55.4,1.0,15.8,0.2564102564102564
208,4021.0,4.0,5.0,4.0,335700.0,17.7,71.0,1.0,15.7,0.08974358974358974
210,4620.0,4.0,3.0,3.0,236933.0,13.8,68.0,1.0,16.2,0.0
211,7917.0,3.0,3.0,3.0,248705.0,26.2,49.0,1.0,16.3,0.23529411764705882
212,4045.0,4.0,4.0,4.0,345500.0,7.9,89.4,1.0,20.9,0.05084745762711865
214,4634.0,4.0,5.0,4.0,333353.0,6.2,59.4,1.0,20.7,0.0784313725490196
216,4093.0,3.0,3.0,3.0,260300.0,9.0,51.3,3.0,16.1,0.2
217,4186.0,4.0,5.0,4.0,299165.0,17.0,72.0,1.0,19.9,0.13333333333333333
218,7971.0,3.0,3.0,3.0,338310.0,17.4,57.1,1.0,16.5,0.28125
219,4042.0,4.0,4.0,5.0,354467.0,16.2,79.2,1.0,14.4,0.027906976744186046
225,4461.0,4.0,4.0,4.0,314952.0,12.3,66.1,1.0,15.0,0.0
226,4116.0,4.0,3.0,3.0,317167.0,3.6,60.5,1.0,18.0,0.037037037037037035
227,4221.0,4.0,4.0,3.0,292332.0,3.2,52.8,1.0,16.1,0.14
231,4204.0,5.0,5.0,5.0,293612.0,11.2,58.2,1.0,15.2,0.11409395973154363
232,4028.0,3.0,3.0,3.0,271500.0,5.0,73.6,1.0,19.5,0.0
234,4063.0,5.0,5.0,5.0,308125.0,13.6,62.4,1.0,20.2,0.064
236,4004.0,5.0,5.0,5.0,336644.0,15.7,71.6,1.0,16.3,0.05303030303030303
237,4967.0,4.0,4.0,4.0,305208.0,12.6,60.1,1.0,12.6,0.09230769230769231
238,4008.0,3.0,4.0,4.0,294413.0,15.5,76.1,1.0,15.4,0.1724137931034483
239,4005.0,5.0,5.0,5.0,326400.0,20.7,72.2,1.0,15.5,0.034482758620689655
240,4203.0,5.0,4.0,4.0,283679.0,9.0,56.9,3.0,22.0,0.12121212121212122
241,4911.0,5.0,5.0,5.0,319737.0,13.3,70.4,1.0,11.1,0.07462686567164178
242,4471.0,5.0,4.0,4.0,311500.0,4.4,58.5,3.0,16.0,0.09615384615384616
243,4188.0,5.0,5.0,5.0,290500.0,21.5,73.5,1.0,18.7,0.040697674418604654
244,4182.0,4.0,4.0,5.0,349470.0,12.6,85.4,1.0,17.7,0.05454545454545454
246,4183.0,4.0,5.0,5.0,320000.0,20.2,69.7,1.0,19.2,0.05660377358490566
247,4078.0,3.0,4.0,4.0,263865.0,9.7,66.7,1.0,15.2,0.0
249,4968.0,4.0,3.0,3.0,294082.0,15.6,68.3,2.0,17.1,0.045454545454545456
254,4452.0,5.0,5.0,5.0,300706.0,14.4,69.6,1.0,17.4,0.046357615894039736
256,3407.0,5.0,5.0,5.0,337356.0,19.3,75.5,1.0,14.8,0.10746268656716418
260,4912.0,5.0,4.0,5.0,294920.0,9.3,67.6,1.0,17.8,0.041666666666666664
263,4957.0,3.0,2.0,2.0,302450.0,6.1,72.1,1.0,22.0,0.0
267,4917.0,4.0,4.0,4.0,308679.0,8.6,63.9,1.0,16.5,0.09523809523809523
269,4927.0,4.0,5.0,4.0,353000.0,11.9,55.2,1.0,5.0,0.0
270,4921.0,5.0,5.0,5.0,262848.0,3.4,53.1,1.0,12.2,0.0975609756097561
271,7995.0,4.0,4.0,4.0,359434.0,14.4,46.3,1.0,18.0,0.0
272,4410.0,4.0,3.0,3.0,333416.0,11.7,66.0,1.0,15.8,0.25
