,証券コード,環境(5),企業統治(5),社会性(5),30歳平均賃金,月平均残業時間,有休取得率/前期,従業員の能力・評価結果の公開,勤続年数合計/前期,3年以内離職率,資産合計,自己資本,純利益,ROA,ROE
42,1946.0,3.0,3.0,3.0,264000.0,29.2,63.6,1.0,19.4,0.145631067961165,274375.0,104789.0,6724.0,2.450660592255125,6.41670404336333
43,1965.0,3.0,4.0,3.0,284015.0,40.4,46.3,1.0,14.8,0.2424242424242424,57176.0,37940.0,2138.0,3.7393311879110116,5.635213494992093
44,1980.0,4.0,5.0,5.0,302292.0,22.1,46.2,1.0,17.9,0.074074074074074,136750.0,75779.0,5863.0,4.287385740402193,7.7369719843228335
45,1712.0,3.0,2.0,2.0,410888.0,25.1,55.4,1.0,8.7,0.2,19587.0,13364.0,1031.0,5.263695308112524,7.714756061059563
46,1721.0,4.0,5.0,5.0,271163.0,23.1,50.9,1.0,16.0,0.1521739130434782,186000.0,120946.0,12863.0,6.915591397849462,10.635324855720734
47,1951.0,4.0,4.0,5.0,282881.0,31.0,64.0,1.0,17.3,0.0947368421052631,406061.0,218203.0,20539.0,5.058107033179744,9.412794507866527
48,4526.0,4.0,4.0,4.0,297671.0,13.0,69.9,1.0,16.0,0.2,81367.0,51334.0,20674.0,25.408335074415916,40.27350294152024
49,2269.0,5.0,5.0,5.0,301592.0,9.1,66.8,1.0,17.0,0.128440366972477,391413.0,246042.0,31735.0,8.107804288564765,12.898204371611351
50,2573.0,3.0,3.0,4.0,231585.0,8.5,52.2,1.0,18.9,0.0,45935.0,37626.0,576.0,1.2539457929683246,1.5308563227555414
51,2607.0,5.0,5.0,4.0,292100.0,18.6,68.6,1.0,18.5,0.1212121212121212,239118.0,123528.0,2463.0,1.0300353800215793,1.9938799300563435
52,2282.0,4.0,5.0,4.0,334775.0,24.1,54.1,1.0,18.0,0.0327868852459016,538489.0,229067.0,31894.0,5.922869362233954,13.92343724761751
53,2002.0,5.0,4.0,4.0,324567.0,19.0,67.5,1.0,17.0,0.1162790697674418,380464.0,308077.0,16831.0,4.4238088229109715,5.463244578465773
54,2897.0,5.0,5.0,5.0,279439.0,20.0,70.7,1.0,12.5,0.125,417786.0,244955.0,24447.0,5.851560368226796,9.98020044497969
55,2602.0,5.0,5.0,5.0,288563.0,18.5,70.7,1.0,18.6,0.15,267725.0,119412.0,4149.0,1.5497245307685126,3.4745251733494125
56,2117.0,3.0,3.0,2.0,287000.0,20.1,43.3,1.0,19.4,0.2222222222222222,56717.0,49143.0,1232.0,2.172188232804979,2.5069694564841383
57,2875.0,4.0,4.0,4.0,275236.0,21.1,62.8,2.0,15.3,0.1627906976744186,276505.0,192819.0,20408.0,7.380698359884994,10.584019209725183
58,2204.0,3.0,3.0,3.0,262156.0,16.0,59.7,1.0,18.3,0.6785714285714286,42142.0,26084.0,232.0,0.5505196715865407,0.8894341358687318
60,2270.0,4.0,5.0,4.0,276312.0,17.5,73.8,1.0,14.3,0.0934579439252336,328568.0,159505.0,9043.0,2.7522461103941955,5.669414751888655
61,2264.0,5.0,5.0,5.0,391057.0,11.5,70.2,1.0,15.7,0.0758620689655172,387255.0,134589.0,27023.0,6.978089372635601,20.078163891551316
62,2201.0,4.0,4.0,4.0,247007.0,13.3,62.6,1.0,18.4,0.1951219512195122,197405.0,112783.0,24717.0,12.520959448848815,21.91553691602458
63,2004.0,4.0,4.0,4.0,292634.0,7.8,58.8,1.0,15.8,0.1777777777777777,173123.0,79436.0,2284.0,1.3192932192718472,2.875270658139886
64,2206.0,4.0,5.0,4.0,387310.0,23.7,68.1,1.0,17.7,0.1111111111111111,297011.0,208739.0,10323.0,3.475628848763177,4.945410297069546
65,2220.0,3.0,3.0,3.0,301000.0,7.9,65.5,1.0,20.2,0.0625,75901.0,43406.0,3434.0,4.524314567660505,7.911348661475372
66,2209.0,3.0,3.0,3.0,258492.0,17.0,56.3,2.0,13.5,0.0909090909090909,19074.0,15493.0,659.0,3.4549648736499945,4.253533853998579
67,2593.0,4.0,4.0,5.0,330000.0,28.6,53.9,1.0,16.0,0.2439024390243902,278776.0,156327.0,12360.0,4.433667173644791,7.906503674988966
68,2805.0,4.0,4.0,4.0,317500.0,12.0,72.0,1.0,13.9,0.1463414634146341,104713.0,55100.0,5706.0,5.449180140001719,10.355716878402903
69,2931.0,3.0,3.0,3.0,404726.0,25.0,61.2,1.0,4.3,0.0,27794.0,21915.0,-2355.0,-8.473051737785134,-10.746064339493499
70,2267.0,5.0,4.0,5.0,297974.0,8.1,71.7,1.0,18.4,0.075268817204301,323463.0,195512.0,31130.0,9.623975539706242,15.922296329637057
71,2217.0,3.0,3.0,3.0,268660.0,6.6,64.8,1.0,14.4,0.1875,25113.0,17578.0,1028.0,4.093497391789113,5.848219365115486
72,4404.0,3.0,3.0,3.0,281967.0,10.7,60.1,1.0,18.0,0.1739130434782608,49581.0,23567.0,632.0,1.2746818337669672,2.681715958755887
73,2060.0,3.0,3.0,3.0,286467.0,6.9,54.3,1.0,15.3,0.0666666666666666,91075.0,40182.0,3215.0,3.530057644798243,8.001095017669604
74,2810.0,4.0,4.0,5.0,325162.0,17.5,61.4,1.0,20.3,0.1285714285714285,222917.0,193625.0,13096.0,5.87483233669931,6.76358941252421
75,2001.0,4.0,4.0,4.0,312039.0,15.4,63.0,1.0,16.3,0.18,257369.0,150357.0,10222.0,3.971729306948389,6.7984862693456245
76,2871.0,4.0,4.0,4.0,236840.0,17.3,59.7,1.0,16.8,0.146067415730337,205028.0,107058.0,12433.0,6.064049788321595,11.613331091557848
77,2501.0,5.0,5.0,5.0,326600.0,14.5,60.0,1.0,16.5,0.0384615384615384,357752.0,142395.0,8509.0,2.3784632930074467,5.9756311668246775
78,2579.0,4.0,5.0,5.0,326594.0,15.4,49.2,1.0,17.0,0.2576923076923076,543410.0,351812.0,18395.0,3.385105169209253,5.228644844405535
79,2503.0,5.0,5.0,5.0,318793.0,20.1,67.1,1.0,17.5,0.053763440860215,1996761.0,1007022.0,77251.0,3.8688155467780065,7.671232604650147
80,2809.0,5.0,5.0,5.0,318344.0,15.9,61.7,1.0,15.3,0.1020408163265306,252832.0,158264.0,12644.0,5.000949246930769,7.989182631552342
81,2801.0,5.0,4.0,4.0,360016.0,12.4,74.3,1.0,13.4,0.03125,271420.0,92046.0,15193.0,5.597597818878491,16.50587749603459
82,2216.0,4.0,4.0,4.0,337502.0,12.5,63.3,1.0,13.7,0.2083333333333333,21200.0,11750.0,879.0,4.14622641509434,7.480851063829787
83,2229.0,4.0,4.0,5.0,338686.0,13.8,67.8,1.0,14.9,0.1666666666666666,208494.0,166728.0,20637.0,9.898126564793232,12.3776450266302
84,2811.0,5.0,4.0,4.0,308300.0,14.2,83.0,1.0,16.8,0.0192307692307692,155419.0,102440.0,7140.0,4.594032904599824,6.969933619679812
85,2533.0,3.0,3.0,3.0,245555.0,6.0,79.1,1.0,17.3,0.2222222222222222,34778.0,16633.0,839.0,2.412444648915981,5.044189262309866
86,2815.0,3.0,4.0,3.0,350000.0,7.0,29.9,2.0,14.3,0.3333333333333333,107344.0,97144.0,5841.0,5.441384707109853,6.012723379724944
87,2502.0,5.0,5.0,5.0,305757.0,18.3,60.6,1.0,14.0,0.059880239520958,3045652.0,1229747.0,173574.0,5.699075271895804,14.114610566238422
88,2613.0,4.0,5.0,4.0,285000.0,16.9,63.7,1.0,16.8,0.05,158081.0,90362.0,5893.0,3.727835729784098,6.521546667847105
89,2914.0,5.0,5.0,5.0,307360.0,17.8,84.0,1.0,18.1,0.0797546012269938,2487979.0,1343494.0,216896.0,8.717758469826313,16.144173327160374
90,3512.0,3.0,3.0,3.0,308900.0,1.1,51.8,2.0,23.0,0.1,21307.0,15969.0,510.0,2.3935795747876285,3.1936877700544803
91,3101.0,4.0,5.0,4.0,305644.0,9.4,64.0,1.0,17.0,0.1386138613861386,447112.0,156273.0,6174.0,1.3808620658805848,3.950778445412835
92,8040.0,3.0,3.0,3.0,254487.0,4.4,78.1,1.0,15.5,0.4285714285714285,14123.0,7878.0,299.0,2.117113927635771,3.7953795379537953
93,3402.0,5.0,5.0,5.0,310533.0,9.1,80.2,1.0,15.9,0.0827067669172932,1508708.0,699567.0,67272.0,4.458914514935959,9.616234041914499
94,3401.0,5.0,5.0,5.0,393576.0,13.5,70.4,1.0,18.6,0.05,638832.0,264285.0,36138.0,5.656886317529492,13.6738747942562
95,3580.0,4.0,3.0,3.0,287472.0,3.5,51.3,1.0,16.6,0.1860465116279069,40537.0,30558.0,1950.0,4.8104201100229425,6.381307677204005
96,8011.0,3.0,3.0,3.0,279300.0,9.7,60.0,1.0,13.9,0.2352941176470588,51639.0,33957.0,860.0,1.6654079281163463,2.5326147775127366
97,3591.0,3.0,4.0,4.0,284019.0,3.2,77.4,1.0,15.0,0.131578947368421,165180.0,137759.0,2749.0,1.6642450659886183,1.9955139047176593
98,3103.0,3.0,3.0,3.0,272946.0,8.5,52.6,2.0,18.1,0.2093023255813953,172788.0,40485.0,1607.0,0.9300414380628284,3.9693713721131285
99,3551.0,3.0,3.0,3.0,265588.0,12.7,51.7,2.0,17.6,0.1052631578947368,49989.0,20377.0,1296.0,2.5925703654804058,6.36011189085734
100,8111.0,4.0,4.0,4.0,313944.0,18.6,47.8,1.0,17.3,0.1612903225806451,74543.0,42065.0,11951.0,16.032357162979757,28.410792820634732
101,3002.0,4.0,4.0,5.0,312606.0,5.7,66.8,1.0,20.2,0.1904761904761904,134257.0,106184.0,1699.0,1.2654833639959184,1.6000527386423566
102,3865.0,4.0,3.0,3.0,251033.0,13.8,57.1,1.0,19.7,0.2884615384615384,268469.0,131708.0,7368.0,2.7444509421944434,5.594193215294439
103,3863.0,4.0,5.0,5.0,337500.0,14.5,67.9,1.0,21.1,0.1176470588235294,1238116.0,291531.0,-230.0,-0.018576611561436893,-0.07889383976318128
104,3880.0,5.0,5.0,4.0,264226.0,20.8,65.7,1.0,17.7,0.1486486486486486,724931.0,229461.0,61670.0,8.507016529849047,26.876026862952745
105,3861.0,5.0,5.0,5.0,276610.0,12.6,81.0,1.0,16.6,0.1666666666666666,1098746.0,401117.0,23899.0,2.1751159958716575,5.958111972317304
106,3941.0,5.0,5.0,5.0,316600.0,18.0,63.9,1.0,15.3,0.1707317073170731,592551.0,182623.0,17968.0,3.0323128304567875,9.838848337832584
