東洋経済コード,負債比率,年版
1909,191.13,2017
5631,170.95,2017
6005,24.89,2017
6013,118.83,2017
6022,49.16,2017
6101,25.96,2017
6103,53.63,2017
6104,64.72,2017
6111,44.52,2017
6113,15.82,2017
6118,30.66,2017
6125,151.59,2017
6134,19.96,2017
6135,113.63,2017
6136,83.03,2017
6137,80.03,2017
6138,139.7,2017
6140,23.99,2017
6141,250.19,2017
6142,41.25,2017
6143,111.64,2017
6144,72.82,2017
6145,35.79,2017
6146,23.41,2017
6147,149.57,2017
6149,31.61,2017
6150,106.55,2017
6151,16.8,2017
6155,76.02,2017
6156,9.98,2017
6157,18.24,2017
6158,56.54,2017
6159,20.66,2017
6161,17.15,2017
6165,117.64,2017
6166,88.2,2017
6167,34.59,2017
6168,0,2017
6203,70.85,2017
6208,211.84,2017
6210,92.43,2017
6217,158.68,2017
6218,299.44,2017
6222,29,2017
6223,0,2017
6225,0,2017
6226,0,2017
6227,0,2017
6228,0,2017
6229,0,2017
6230,0,2017
6231,0,2017
6232,0,2017
6233,358.92,2017
6235,177.28,2017
6237,58.34,2017
6238,40.51,2017
6239,231.86,2017
6240,68.86,2017
6245,43.31,2017
6246,55.75,2017
6247,23.27,2017
6248,23.51,2017
6249,0.26,2017
6250,115.06,2017
6254,87.75,2017
6255,113.65,2017
6257,17.93,2017
6258,172.87,2017
6262,46.57,2017
6264,162.58,2017
6265,9.69,2017
6266,181.47,2017
6267,77.45,2017
6268,71.69,2017
6269,183.78,2017
6272,32.33,2017
6273,26.01,2017
6277,37.45,2017
6278,7.62,2017
6279,66.8,2017
6282,20.98,2017
6284,57.37,2017
6286,29.95,2017
6287,82.4,2017
6289,62.95,2017
6291,53.04,2017
6292,127.48,2017
6293,76.84,2017
6294,121.25,2017
6297,119.08,2017
6298,140.62,2017
6301,53.03,2017
6302,184.06,2017
6305,127.13,2017
6306,44.2,2017
6307,84.2,2017
6309,37.85,2017
6310,142.45,2017
6312,45.12,2017
6315,56.29,2017
6316,132.7,2017
6317,114.07,2017
6322,79.76,2017
6323,72.1,2017
6324,22.56,2017
6325,45.07,2017
6326,90.15,2017
6327,1590.77,2017
6328,119.39,2017
6331,119.7,2017
6332,48.71,2017
6333,12.98,2017
6334,190.25,2017
6335,140.75,2017
6336,441.44,2017
6337,7.35,2017
6338,71.79,2017
6339,48.71,2017
6340,86.72,2017
6342,98.09,2017
6343,64.14,2017
6345,54.82,2017
6346,24.01,2017
6347,440.62,2017
6349,31.12,2017
6351,25.35,2017
6356,51.48,2017
6357,37.88,2017
6358,57.04,2017
6360,184.18,2017
6361,102.84,2017
6363,108.82,2017
6364,76.4,2017
6365,45.61,2017
6367,156.52,2017
6368,101.1,2017
6369,31.22,2017
6370,22.87,2017
6371,83.17,2017
6373,179.62,2017
6378,180.61,2017
6380,196.53,2017
6381,27.6,2017
6382,63.89,2017
6383,84.11,2017
6384,69.22,2017
6387,27.3,2017
6390,140.66,2017
6391,46.49,2017
6392,52.83,2017
6393,135.16,2017
6395,73.67,2017
6396,342.01,2017
6400,302.33,2017
6402,93.79,2017
6403,75.32,2017
6405,19.03,2017
6406,58.87,2017
6407,44.05,2017
6408,147.47,2017
6411,48.72,2017
6412,34.13,2017
6413,30.56,2017
6416,35.08,2017
6417,18.48,2017
6418,43.46,2017
6419,11.13,2017
6420,66.72,2017
6424,284.6,2017
6425,79,2017
6428,83.91,2017
6430,62.96,2017
6432,38.12,2017
6433,35.02,2017
6436,23.63,2017
6439,112.47,2017
6440,228.5,2017
6444,231.58,2017
6445,147.86,2017
6454,29.02,2017
6457,43.35,2017
6458,61.75,2017
6459,18.13,2017
6460,39.99,2017
6463,73.83,2017
6464,146.37,2017
6465,54.85,2017
6466,50.03,2017
6467,60.22,2017
6469,130.46,2017
6470,75.72,2017
6471,163.74,2017
6472,200.91,2017
6473,119.91,2017
6474,183.16,2017
6480,56.52,2017
6481,60.51,2017
6482,16.06,2017
6484,41.74,2017
6485,22.69,2017
6486,149.33,2017
6488,21.14,2017
6489,107.93,2017
6490,26.56,2017
6492,22.84,2017
6494,12.29,2017
6495,72.65,2017
6496,36.13,2017
6497,27.68,2017
6498,64.96,2017
6586,10.62,2017
7003,255.03,2017
7004,251.13,2017
7011,188.57,2017
7013,450.89,2017
7021,45.57,2017
7022,97.59,2017
7718,27.78,2017
7726,120.32,2017
7991,63.09,2017
3105,81.99,2017
3856,36.6,2017
4062,48.97,2017
4902,90.78,2017
6276,18.99,2017
6448,112.33,2017
6479,91.29,2017
6501,180.65,2017
6503,180.15,2017
6504,230.2,2017
6505,129.19,2017
6506,86.37,2017
6507,187.67,2017
6508,245.58,2017
6513,84.26,2017
6516,54.49,2017
6517,36.57,2017
6518,103.27,2017
6521,0,2017
6522,0,2017
6523,0,2017
6524,0,2017
6526,0,2017
6527,0,2017
6588,942.11,2017
6590,206.04,2017
6592,9.03,2017
6594,101.59,2017
6596,0,2017
6597,0,2017
6599,0,2017
6612,0,2017
6613,0,2017
6614,0,2017
6615,114.69,2017
6616,19.26,2017
6617,102.08,2017
6619,47.57,2017
6622,145.5,2017
6623,58.61,2017
6626,84.75,2017
6627,33.23,2017
6629,117.21,2017
6630,66.98,2017
6632,197.58,2017
6633,92.2,2017
6634,94.96,2017
6635,322.13,2017
6637,121.7,2017
6638,200.46,2017
6643,97.58,2017
6644,75.01,2017
6645,71.1,2017
6647,108.4,2017
6648,44.8,2017
6651,12.72,2017
6652,55.77,2017
6653,129.75,2017
6654,6.96,2017
6655,91.53,2017
6656,199.34,2017
6658,158.86,2017
6659,58.29,2017
6662,14.12,2017
6663,62.73,2017
6664,558.55,2017
6666,241.85,2017
6668,60.39,2017
6670,29.42,2017
6674,33.39,2017
6675,15.24,2017
6676,12.12,2017
6677,26.44,2017
6678,22.51,2017
6694,44.6,2017
6695,144.52,2017
6696,47.65,2017
6699,0,2017
6701,198.85,2017
6702,208.36,2017
6703,207.1,2017
6706,31.04,2017
6707,399.63,2017
6718,19.24,2017
6721,13.17,2017
6723,314.88,2017
6724,85.95,2017
6727,81.42,2017
6728,220.9,2017
6730,8,2017
6731,79.8,2017
6734,138.86,2017
6736,43.57,2017
6737,31.64,2017
6740,145.55,2017
6741,70.17,2017
6742,122.88,2017
6743,84.33,2017
6744,52.81,2017
6745,138.05,2017
6748,155.64,2017
6750,93.54,2017
6752,461.22,2017
6753,0,2017
6754,58.65,2017
6757,84.04,2017
6758,48.9,2017
6762,164.98,2017
6763,19.33,2017
6768,85.74,2017
6769,3.75,2017
6770,96.79,2017
6771,110.35,2017
6772,171.5,2017
6775,39.19,2017
6777,15.3,2017
6778,6.91,2017
6779,153.04,2017
6785,31.52,2017
6787,229.05,2017
6788,21.21,2017
6794,66.62,2017
6797,49.28,2017
6798,105.64,2017
6800,79.19,2017
6803,227.02,2017
6804,51.97,2017
6806,10.74,2017
6807,73.88,2017
6809,19.83,2017
6810,28.42,2017
6814,185.63,2017
6817,123.41,2017
6820,8.72,2017
6822,113.6,2017
6823,52.64,2017
6824,27.25,2017
6832,27.06,2017
6834,6.45,2017
6835,342.73,2017
6836,24.23,2017
6837,62.19,2017
6838,43.85,2017
6840,10.84,2017
6841,38.25,2017
6844,167.81,2017
6845,48.88,2017
6846,149.95,2017
6848,47.6,2017
6849,45.38,2017
6850,65.56,2017
6853,71.37,2017
6855,58.07,2017
6856,66.28,2017
6857,117.4,2017
6858,47.16,2017
6859,28.57,2017
6861,8.04,2017
6862,47.81,2017
6863,15.6,2017
6864,50.29,2017
6866,8.62,2017
6867,26.26,2017
6869,35.72,2017
6870,54.09,2017
6871,55.82,2017
6874,143.48,2017
6875,109.24,2017
6877,99.78,2017
6882,41.91,2017
6890,40.71,2017
6894,50.42,2017
6897,89.47,2017
6898,19.86,2017
6899,91.83,2017
6901,127.67,2017
6904,185.02,2017
6905,8.9,2017
6907,58.39,2017
6908,35.77,2017
6912,25.63,2017
6914,22.51,2017
6915,36.7,2017
6918,19.71,2017
6919,29.09,2017
6920,18.82,2017
6923,42.54,2017
6925,32.36,2017
6926,82.76,2017
6927,17.11,2017
6928,55.3,2017
6929,16.71,2017
6930,21.67,2017
6932,196.19,2017
6937,179.16,2017
6941,49.19,2017
6943,21.34,2017
6946,324.56,2017
6947,18.36,2017
6951,217.6,2017
6952,87.14,2017
6954,9.06,2017
6955,1349.91,2017
6957,71.66,2017
6958,97.83,2017
6960,47.87,2017
6961,8.39,2017
6962,93.74,2017
6963,16.69,2017
6964,43.43,2017
6965,26.05,2017
6966,16.84,2017
6969,83.9,2017
6971,26.41,2017
6976,112.31,2017
6977,248.98,2017
6981,57.72,2017
6986,10.18,2017
6989,162.69,2017
6994,28.69,2017
6996,36.14,2017
6997,119.45,2017
6998,82.27,2017
6999,22.87,2017
7244,292.81,2017
7276,56.27,2017
7280,407.29,2017
7735,151.59,2017
7739,24.05,2017
7751,118.72,2017
7752,89.86,2017
7965,39.05,2017
7999,1.53,2017
8035,90.51,2017
9880,17.03,2017
3116,249.25,2017
3526,160.3,2017
5949,57.51,2017
6016,141.4,2017
6018,66.8,2017
6023,135.13,2017
6042,110.19,2017
6201,71.09,2017
6455,51.06,2017
6493,70.1,2017
6584,111.43,2017
6902,58.68,2017
6982,195.91,2017
6995,63.77,2017
7012,323.85,2017
7014,68.73,2017
7018,357.53,2017
7102,256.84,2017
7105,152.59,2017
7122,82.47,2017
7201,99.2,2017
7202,103.2,2017
7203,48.27,2017
7205,103.35,2017
7208,51.84,2017
7211,99.66,2017
7212,269.98,2017
7213,426.93,2017
7214,77.57,2017
7215,189.72,2017
7217,84.2,2017
7218,167.46,2017
7219,42.92,2017
7220,130.31,2017
7222,69.85,2017
7224,65.41,2017
7226,44.9,2017
7227,244.33,2017
7228,73.14,2017
7229,52.97,2017
7231,137.95,2017
7235,54.49,2017
