東洋経済コード,負債比率,年版
1301,338.56,2017
1332,380.23,2017
1333,602.77,2017
1375,0,2017
1376,160.05,2017
1377,12.68,2017
1379,49.77,2017
1380,184.97,2017
1381,33.73,2017
1382,28.93,2017
1383,166.3,2017
1384,53.78,2017
1514,62.04,2017
1515,72.56,2017
1605,42.27,2017
1662,23.1,2017
1663,1.36,2017
1401,75.13,2017
1407,134.39,2017
1414,0.04,2017
1417,39.86,2017
1418,146.51,2017
1419,495.42,2017
1420,243.1,2017
1429,89.04,2017
1430,464.38,2017
1431,62.68,2017
1432,0,2017
1433,57.14,2017
1434,183.11,2017
1436,84.52,2017
1438,50.95,2017
1443,0,2017
1444,34.74,2017
1445,0,2017
1446,151.48,2017
1447,0,2017
1449,238.53,2017
144A,0,2017
1450,0,2017
1452,0,2017
1711,673.53,2017
1712,47.92,2017
1716,24.21,2017
1718,106.84,2017
1719,299.84,2017
1720,321.51,2017
1721,98.35,2017
1723,69.14,2017
1724,628.19,2017
1726,95.68,2017
1736,85.55,2017
1738,80.98,2017
1743,61.23,2017
1758,44.53,2017
1762,3.49,2017
1764,268.95,2017
1766,173.45,2017
1768,117,2017
1770,106.24,2017
1771,51.51,2017
1776,211.48,2017
1777,187.97,2017
1780,60.92,2017
1786,74.55,2017
1787,47.2,2017
1788,45.23,2017
1793,59.46,2017
1795,114.15,2017
1798,198.12,2017
1799,24.99,2017
1801,223.68,2017
1802,239.8,2017
1803,256.27,2017
1807,177.52,2017
1808,180.93,2017
1810,142.64,2017
1811,151.98,2017
1812,365.24,2017
1813,106.63,2017
1814,322.03,2017
1815,300.36,2017
1820,124.22,2017
1821,697.38,2017
1822,149.13,2017
1826,100.13,2017
1827,269.42,2017
1828,99,2017
1832,71.59,2017
1833,87.56,2017
1835,87.83,2017
1840,7.43,2017
1841,21.84,2017
1844,69.77,2017
1847,250.49,2017
1848,203.4,2017
1850,370.86,2017
1852,374.41,2017
1853,222.31,2017
1860,212.52,2017
1861,375.15,2017
1866,85.89,2017
1867,128.47,2017
1869,112,2017
1870,138.76,2017
1871,200.92,2017
1873,119.78,2017
1879,115.38,2017
1882,145.24,2017
1884,92.27,2017
1885,179.32,2017
1887,104.96,2017
1888,182.62,2017
1890,228.14,2017
1892,379.32,2017
1893,378.58,2017
1897,14.82,2017
1898,161.96,2017
1899,126.33,2017
1904,106.99,2017
1905,62.44,2017
1911,167.9,2017
1914,24.41,2017
1921,115.71,2017
1925,126.64,2017
1926,64.78,2017
1928,89.53,2017
1929,101.5,2017
1930,62.32,2017
1934,85.14,2017
1938,76.75,2017
1939,68.45,2017
1941,19.67,2017
1942,105.34,2017
1944,39.02,2017
1945,59.89,2017
1946,121.56,2017
1948,100.77,2017
