東洋経済コード,負債比率,年版
9895,41.31,2017
9896,130.09,2017
9902,24.42,2017
9906,131.71,2017
9908,255.13,2017
9913,239.17,2017
9914,61.41,2017
9929,98.48,2017
9930,101.13,2017
9932,16.76,2017
9934,65.54,2017
9941,0,2017
9955,12.93,2017
9960,198.62,2017
9962,49.72,2017
9972,45.72,2017
9982,93.3,2017
9986,16.15,2017
9987,245.8,2017
9991,127.76,2017
9996,49.9,2017
138A,0,2017
158A,0,2017
2652,143.03,2017
2653,641.86,2017
2654,2.73,2017
2656,17.09,2017
2659,28.2,2017
2664,98.13,2017
2666,240.28,2017
2669,31.19,2017
2670,15.25,2017
2673,186.11,2017
2674,17.65,2017
2678,153.24,2017
2681,123.17,2017
2683,442.7,2017
2685,68.15,2017
2686,142.12,2017
2687,458.4,2017
2694,95.67,2017
2695,52.32,2017
2698,111.17,2017
2702,30.48,2017
2705,96.56,2017
2722,198.32,2017
2726,95.25,2017
2730,155.51,2017
2734,25.69,2017
2735,88.56,2017
2736,405.5,2017
2742,165.12,2017
2747,339.76,2017
2752,176.97,2017
2753,20.47,2017
2762,36.71,2017
2764,196.51,2017
2769,242.76,2017
2778,494.75,2017
2780,27.77,2017
2782,47.11,2017
2789,104.04,2017
2790,73.07,2017
2791,72.82,2017
2792,17.95,2017
2796,278.13,2017
2798,389,2017
2928,136.55,2017
297A,566.85,2017
3011,115.89,2017
3020,270.95,2017
3028,96,2017
3030,66.46,2017
3032,289.6,2017
3034,208.82,2017
3046,47.7,2017
3048,141.34,2017
3050,82.96,2017
3053,226.42,2017
3058,158.75,2017
3059,266.38,2017
3063,188.04,2017
3064,103.92,2017
3065,67.35,2017
3066,266.23,2017
3067,20.35,2017
3068,15.72,2017
3071,183.66,2017
3073,590.94,2017
3075,58.93,2017
3077,73.24,2017
3080,137.32,2017
3082,152.78,2017
3083,101.07,2017
3086,40.97,2017
3087,1.66,2017
3088,65.84,2017
3091,19.61,2017
3092,86.53,2017
3093,63.07,2017
3094,318.18,2017
3096,167.28,2017
3097,93.3,2017
3099,66.94,2017
3133,306.59,2017
3134,51.62,2017
3135,60.9,2017
3136,559.38,2017
3137,27.33,2017
3138,238.21,2017
3141,8.1,2017
3148,0.45,2017
3159,166.37,2017
3169,139.38,2017
3172,30.28,2017
3174,385.97,2017
3175,234.25,2017
3177,145.22,2017
3178,0,2017
3179,114.82,2017
3181,92.3,2017
3182,75.92,2017
3184,193.25,2017
3185,0,2017
3186,335.08,2017
3187,120.73,2017
3189,149.35,2017
3190,148.7,2017
3191,17.11,2017
3192,300.51,2017
3193,125.12,2017
3195,40.96,2017
3196,278.13,2017
3197,278.13,2017
3198,25.65,2017
3199,223.36,2017
3221,63.29,2017
3222,0.06,2017
3223,151.34,2017
3224,194.05,2017
3317,155.51,2017
3329,51.85,2017
3333,60.5,2017
3341,365.68,2017
3346,2893.94,2017
3349,166.11,2017
3352,36.16,2017
3353,166.58,2017
3358,113.73,2017
3361,79.44,2017
3370,2578.67,2017
3372,1079.6,2017
3375,132.6,2017
3382,31.21,2017
3387,407.19,2017
3391,0.92,2017
3395,6.48,2017
3396,47.74,2017
3397,88.83,2017
3399,234.6,2017
3415,53.77,2017
3416,95.25,2017
3418,190.34,2017
3536,3.02,2017
3538,57.08,2017
3539,63.03,2017
3542,85.41,2017
3544,0,2017
3546,0,2017
3547,87.69,2017
3548,424.48,2017
3549,0,2017
3550,74.35,2017
3556,143.81,2017
3557,503.56,2017
3558,71.78,2017
3560,58.89,2017
3561,101.73,2017
3563,553.71,2017
3566,83.75,2017
3726,61.04,2017
3825,38.1,2017
4350,197.22,2017
5856,6.43,2017
5884,0,2017
5890,0,2017
5891,0,2017
6993,294.51,2017
7110,0,2017
7112,0,2017
7118,0,2017
7119,0,2017
7126,0,2017
7133,0,2017
7134,0,2017
7136,0,2017
7137,0,2017
7138,0,2017
7140,0,2017
7412,107.11,2017
7416,67.46,2017
7419,171.07,2017
7421,94.73,2017
7445,86.12,2017
7450,209.21,2017
7453,32.5,2017
7455,13.72,2017
7462,172.42,2017
7463,19.7,2017
7475,83.18,2017
7494,51.26,2017
7506,64.32,2017
7508,176.37,2017
7509,132.91,2017
7512,204.88,2017
7513,185.94,2017
7514,157.74,2017
7515,893.42,2017
7516,213.31,2017
7520,240.46,2017
7522,156.35,2017
7523,51.13,2017
7524,69.03,2017
7532,216.37,2017
7544,909.77,2017
7545,67.08,2017
7550,399.96,2017
7554,117.27,2017
7561,92.85,2017
7562,141.94,2017
7564,26.13,2017
7571,954.95,2017
7578,211.13,2017
7581,26.15,2017
7585,20.74,2017
7593,69.96,2017
7596,19.21,2017
7601,356.72,2017
7603,72.67,2017
7604,321.88,2017
7605,93.22,2017
7606,80.25,2017
7610,167.1,2017
7611,32.97,2017
7614,2.9,2017
7615,60.53,2017
7616,216.09,2017
7621,130.74,2017
7625,71.4,2017
7630,31.64,2017
7636,66.7,2017
7638,68.74,2017
7640,239.5,2017
7643,83.05,2017
7646,146.76,2017
7649,46.99,2017
7674,0,2017
7678,0,2017
7679,0,2017
7680,0,2017
7682,0,2017
7683,0,2017
7686,0,2017
7691,0,2017
7694,0,2017
7695,0,2017
7918,129.02,2017
8005,56.78,2017
8008,87.33,2017
8160,31.24,2017
8163,81.36,2017
8165,76.66,2017
8166,66.24,2017
8167,0.52,2017
8173,192.99,2017
8174,136.7,2017
8179,39.83,2017
8181,34.03,2017
8185,47.9,2017
